seed	s	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score
1000	0	0.747941812360659	0.561841	0.7674419	0.7638731	0.0004108262	0.0001218244	0.7906977	16.90381	16.91926	0.7976154	18.20132	0	0	21.5814	0.5872093	-1.16869633049215
100	0	0.654162728786469	0.0161157	0.6133721	0.6504453	0.0005464084	0.0003813301	0.6947674	16.6392	16.63203	0.7358067	17.84177	0	0	26.40116	0.1104651	-0.745327304191327
101	0	0.693879813235253	0.4943534	0.6947674	0.685726	0.0007217948	0.0002422765	0.7383721	16.66723	16.64159	0.7717127	17.86894	0	0	24.89826	0.2267442	-1.06033194831324
102	0	0.679874127381481	0.2810388	0.6656977	0.6748604	0.0005775072	0.0001566129	0.7209302	16.52452	16.59082	0.7428573	17.89281	0	0	25.40988	0.2209302	-0.787382153385697
103	0	0.664642404695042	0.1870956	0.6366279	0.6601059	0.0008881141	0.0005813137	0.7151163	16.5999	16.55141	0.6049649	17.78033	0	0	26.31977	0.09302326	-0.737843966509108
104	0	0.705700826761313	0.9428554	0.7325581	0.7007123	0.000546618	0.0007320779	0.7325581	16.72164	16.75367	0.8155242	18.01188	0	0	24.56105	0.2848837	-1.13996391739019
105	0	0.742398499534465	0.3731362	0.7412791	0.7497764	0.0004696899	0.0001947624	0.7848837	16.80009	16.8189	0.85618	18.18473	0	0	22.11628	0.5174419	-1.0659481729653
106	0	0.664527436275966	0.6540647	0.6715116	0.6579678	0.0007633789	0.0001550719	0.7122093	16.60932	16.5883	0.6796971	17.83686	0	0	25.90116	0.1395349	-0.911980715285106
107	0	0.681503744889051	0.1823382	0.6686047	0.6919431	0.0006399998	0.0006227793	0.7325581	16.66705	16.73397	0.630697	17.99469	0	0	25.23547	0.1744186	-1.00216686742847
108	0	0.715243207896128	0.4353866	0.7209302	0.7222147	0.0005530266	0.0001721517	0.7645349	16.77766	16.83562	0.7306356	18.15433	0	0	23.81686	0.3372093	-1.0510919561225
109	0	0.747503516287543	0.5926315	0.7616279	0.7525946	0.0006236221	0.0003016098	0.7936047	16.88321	16.96904	0.80843	18.26828	0	0	21.60756	0.5581395	-1.34177413587823
10	0	0.726049937075004	0.960617	0.7587209	0.706751	0.0006531117	0.0002450224	0.752907	16.82902	16.83817	0.6346508	18.0092	0	0	24.24709	0.255814	-1.22731313139479
110	0	0.682741282158531	0.02294444	0.6453488	0.6924095	0.0007145771	0.0003418632	0.7383721	16.61755	16.66842	0.5969953	17.85308	0	0	25.01744	0.2034884	-0.840980156398204
111	0	0.686067863088101	0.8556404	0.7267442	0.6922144	0.0007681851	8.285996e-05	0.7383721	16.67427	16.75732	0.528047	17.84348	0	0	24.92442	0.1976744	-0.921870636588901
112	0	0.741374985990115	0.2529361	0.7209302	0.7303008	0.0004988489	0.0001959041	0.7732558	16.75681	16.8806	0.6898001	18.14881	0	0	22.73256	0.3604651	-1.25655709466062
113	0	0.657758934539743	0.4331317	0.6569767	0.6549337	0.0006324654	0.0002610992	0.7005814	16.57997	16.52306	0.879821	17.86054	0	0	26.40116	0.1453488	-0.745107116003355
114	0	0.717758916271851	0.1421963	0.6860465	0.713199	0.0006960273	0.0002327708	0.7587209	16.60725	16.68167	0.7796567	17.89571	0	0	23.51453	0.3255814	-0.816284376340906
115	0	0.745447627757676	0.1945583	0.7209302	0.7401157	0.0005298615	8.245751e-05	0.7761628	16.7776	16.86065	0.6994793	18.16007	0	0	22.46512	0.4651163	-1.31481221815789
116	0	0.740702821989544	0.287876	0.7296512	0.7458922	0.0008575597	8.447295e-05	0.7906977	16.80708	16.85554	0.6930333	18.02605	0	0	22.63663	0.494186	-1.18274560289006
117	0	0.723381270724349	0.02019017	0.6686047	0.7188145	0.0006308924	0.000235851	0.7616279	16.63044	16.75229	0.6845367	18.01674	0	0	23.64244	0.4069767	-0.928292463198025
118	0	0.681321024149656	0.1909475	0.6686047	0.6894616	0.0006446915	0.0002526793	0.7296512	16.56369	16.58147	0.7297563	17.91952	0	0	25.17442	0.1569767	-0.944370918249046
119	0	0.655398549768142	0.232789	0.6482558	0.6634851	0.00047942	0.0001238638	0.6976744	16.44163	16.41502	0.8369666	17.79506	0	0	26.89826	0.1337209	-0.772357876260808
11	0	0.676507116365247	0.9557453	0.7209302	0.6796184	0.0007449315	0.0005136234	0.7180233	16.54972	16.58158	0.6640746	17.81418	0	0	25.9593	0.127907	-1.05724929333458
120	0	0.654765621409751	0.5758046	0.6627907	0.6594947	0.0006775849	0.0001338259	0.6976744	16.60253	16.59163	0.7662563	17.83188	0	0	25.97384	0.1046512	-0.797748331920001
121	0	0.679072392033413	0.06388487	0.6366279	0.6737231	0.0007129145	0.0004072742	0.7151163	16.54261	16.63221	0.7929128	17.86758	0	0	25.95349	0.2209302	-0.670379399752415
122	0	0.657037901831791	0.4825907	0.6627907	0.6603619	0.000788954	0.0005001811	0.7063953	16.62412	16.61227	0.7080068	17.818	0	0	26.27035	0.1802326	-0.822846975455328
123	0	0.701636904804036	0.4822812	0.7063953	0.7140674	0.0009298734	0.0001358505	0.7587209	16.63808	16.7657	0.6752273	17.96231	0	0	24.63372	0.2674419	-0.968367437401109
124	0	0.653276611748152	0.4949603	0.6540698	0.651357	0.0004740176	0.0001482727	0.6889535	16.62736	16.54977	0.7378437	17.78717	0	0	26.3343	0.09302326	-1.05328831625355
125	0	0.653844046918675	0.9076849	0.7063953	0.6688907	0.0007820243	0.0003899367	0.7151163	16.6123	16.68424	0.6550806	17.87397	0	0	26.0407	0.1686047	-0.857582465947861
126	0	0.661385362409055	0.7172078	0.6656977	0.6477706	0.0006788979	0.0001859578	0.6947674	16.58265	16.57598	0.6928743	17.83936	0	0	26.52616	0.06976744	-0.656742050541911
127	0	0.708005779283121	0.4723391	0.6744186	0.6773348	0.0005834775	0.0001145512	0.7063953	16.74474	16.68253	0.7584759	17.90605	0	0	25.36047	0.1744186	-0.829947182527178
128	0	0.690556123084389	0.9425538	0.744186	0.6946297	0.0007423869	0.0006071113	0.744186	16.64517	16.73067	0.5961022	17.8817	0	0	24.8314	0.1860465	-0.860561714216226
129	0	0.699782572383992	0.4712998	0.6947674	0.6963966	0.0004473656	0.0001514027	0.7325581	16.7643	16.78002	0.7179711	17.92093	0	0	24.48256	0.25	-0.867352385870517
12	0	0.742004746198654	0.2618415	0.7238372	0.7373322	0.0006124564	0.0001368213	0.7819767	16.83621	16.90518	0.6972859	18.1248	0	0	21.9593	0.5290698	-1.05989969967746
130	0	0.684213669225574	0.5341806	0.6918605	0.6833428	0.0006643563	0.0003585047	0.7238372	16.70845	16.74528	0.7285374	17.98571	0	0	24.99128	0.2151163	-1.19331021680555
131	0	0.662267850432545	0.7577384	0.6773256	0.6584685	0.0005068256	0.0001841076	0.6947674	16.52665	16.52827	0.574518	17.8252	0	0	26.48547	0.1686047	-0.791651655401442
132	0	0.730338611360639	0.1168448	0.6918605	0.7153109	0.0005501987	0.0001523412	0.7587209	16.59838	16.689	0.7392027	18.05459	0	0	23.46512	0.3953488	-0.690371775073246
133	0	0.651053091976792	0.9737455	0.6889535	0.6366475	0.0007665976	0.0006855992	0.6831395	16.62618	16.60211	0.5960883	17.81717	0	0	26.60465	0.06976744	-0.95973471672626
134	0	0.704922586260363	0.3436261	0.6860465	0.693039	0.0007123371	0.0002959603	0.7383721	16.70828	16.76494	0.6485563	17.98766	0	0	24.6657	0.2732558	-1.21531867745018
135	0	0.683312293700874	0.4103415	0.6947674	0.7012582	0.0005236365	0.0001414031	0.7325581	16.58935	16.60758	0.6587549	17.871	0	0	25.30814	0.2093023	-1.11233524229933
136	0	0.730420886352658	0.5802447	0.744186	0.7364754	0.0006416767	0.0006679171	0.7761628	16.68589	16.77669	0.652234	17.93793	0	0	22.94477	0.3662791	-1.08973655540278
137	0	0.709986528381705	0.2879549	0.6947674	0.7035089	0.000487653	0.0001224912	0.744186	16.72821	16.7694	0.6818166	17.99418	0	0	24.20058	0.2906977	-1.14669556816574
138	0	0.72669234406203	0.2608292	0.7005814	0.7159765	0.0006080982	0.0003720389	0.755814	16.71346	16.74491	0.73539	17.94846	0	0	23.10174	0.377907	-0.965871461866664
139	0	0.65495593957603	0.6370171	0.6744186	0.6668318	0.0005620444	8.210864e-05	0.7034884	16.61385	16.61955	0.7256388	17.87338	0	0	25.81105	0.127907	-0.689794216839964
13	0	0.653830019617453	0.8479469	0.6831395	0.6550407	0.0008165433	0.0001901314	0.7005814	16.6008	16.63034	0.6658609	17.85046	0	0	25.97674	0.122093	-0.69444491721721
140	0	0.681232287478633	0.2617852	0.6802326	0.6976445	0.0007238329	0.000120014	0.7383721	16.71819	16.76748	0.6773152	17.87057	0	0	24.86919	0.2732558	-0.991107460843592
141	0	0.694045990635641	0.268787	0.6889535	0.7033842	0.0006303815	0.0001582833	0.7412791	16.68837	16.76353	0.7560446	18.15769	0	0	24.09884	0.25	-1.30951647757294
142	0	0.678862716211006	0.8081188	0.6976744	0.6694119	0.0008451503	0.0003970776	0.7209302	16.61825	16.67363	0.6874165	18.01831	0	0	25.35756	0.1860465	-0.932052416314166
