seed	s	h	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	avg_switches	global_75_prop	iDAT_score
10000	0.00790396481752396	0.5	0.497867236286402	0.9506403	0.5144242	0.4979098	9.945602e-05	1.94007e-05	0.5143649	16.61537	16.64875	1.124058	18.10696	0	0	23.62572	0.0009497428	0.00491497134097589
1000	0.110914613073692	0.5	0.195663467608392	0.9999134	0.4032252	0.2548104	0.001067824	0.0005911588	0.3194895	16.18452	16.20843	0.9966265	17.80776	0	0	17.50981	0	1.00302982256224
1001	0.196902193315327	0.5	0.879793540388346	0.9995363	0.9758607	0.9226607	0.0001568413	7.430161e-05	0.9497824	18.72211	18.57121	0.412766	19.27618	0.1983779	0.04501217	6.953364	0.9982588	-3.17780439704762
1002	0.112917489139363	0.5	0.175240919925272	0.9997034	0.3662248	0.2405524	0.0007279818	0.0003793417	0.2993471	16.15622	16.1547	1.011781	17.78386	0	0	16.78021	0	1.15430548286779
1003	0.142956469394267	0.5	0.689626699127257	0.9992559	0.8804116	0.7672609	0.0008100542	0.0003189133	0.8265928	17.91197	17.66807	0.861656	18.73753	0.004652104	6.742179e-05	17.17827	0.6177681	-1.80564941455092
1004	0.147879758803174	0.5	0.525090111978352	0.9999533	0.7946181	0.6180383	0.001556354	0.0005786819	0.702777	17.37178	17.09679	1.032372	18.3685	0.0001494024	0	22.30042	0.04728928	-0.780728283009991
1005	0.00746411709114909	0.5	0.238411431014538	0.9169487	0.2568658	0.2442933	6.618017e-05	2.043382e-05	0.2584685	16.13832	16.1486	1.097579	17.80528	0	0	17.33081	0	1.24930824520352
1006	0.105225031916052	0.5	0.340696624666452	0.999985	0.572596	0.4128436	0.001117737	0.000626966	0.4810645	16.47737	16.49798	1.093212	17.97307	0	0	22.62374	0	0.267022527911397
1007	0.0406707918737084	0.5	0.250768932700157	0.9924289	0.3351998	0.2864332	0.0002714222	7.499903e-05	0.3141472	16.27137	16.26346	1.076905	17.84413	0	0	19.13039	0	0.936926435426307
1008	0.092428931593895	0.5	0.836232209205627	0.9991157	0.9265532	0.8702071	0.0002243009	5.468951e-05	0.9033439	18.37526	18.19559	0.6279453	19.08423	0.06212095	0.00715384	10.91866	0.9688564	-2.63588408128973
