seed	s	h	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	avg_switches	global_75_prop	iDAT_score
10000	0.127466910379007	0	0.454305861517787	0.9999866	0.7872576	0.5582132	0.002492794	0.001150625	0.6683221	16.99226	16.93115	1.070869	18.25999	7.539962e-05	0	23.08445	0.008428967	-0.503481961148467
1000	0.0508065573405474	0	0.640781863033771	0.999315	0.7702612	0.6796957	0.0005770098	0.0001552838	0.7249505	17.65654	17.28558	1.010843	18.50645	0.0003082535	0	20.68287	0.1883261	-0.994359626623669
1001	0.050242057768628	0	0.134797163121402	0.9949366	0.1575979	0.1379517	6.71561e-05	2.102232e-05	0.1494262	15.90398	15.9149	1.03797	17.71612	0	0	11.24594	0	2.51080712780774
1002	0.11594171160832	0	0.802938145771623	0.9999316	0.95926	0.8639671	0.0006118562	0.0001116691	0.92222	18.34915	18.19662	0.5398107	19.0469	0.04942142	0.004290341	11.56545	0.9651365	-2.65335755083364
1003	0.177944238623604	0	0.302794016897678	0.9999334	0.6723783	0.4111291	0.002935776	0.001403755	0.530372	16.545	16.57389	1.081714	18.01415	0	0	22.23008	0	0.141558268768932
1004	0.03464584229514	0	0.118014725297689	0.6136633	0.1244361	0.1221825	3.556403e-05	1.017968e-05	0.1322319	15.91255	15.91517	1.018815	17.71623	0	0	10.0614	0	2.62685887717138
1005	0.128520672861487	0	0.687914663553238	0.9994269	0.9438662	0.7928272	0.001386291	0.0003268805	0.8809458	18.03493	17.82944	0.7322425	18.81462	0.00861581	0.0001677043	15.92952	0.7505342	-2.06975466421797
1006	0.0894905942492187	0	0.637529211863875	0.99998	0.8575782	0.7218673	0.001023399	0.0002684106	0.7988089	17.77319	17.48399	0.9053055	18.61693	0.001591989	2.307231e-05	19.32748	0.3736842	-1.37125729562738
1007	0.139768340205774	0	0.638146942853928	0.9998114	0.9286901	0.7559718	0.001663901	0.0005612797	0.8471508	17.90502	17.67923	0.786909	18.72293	0.003430203	4.261122e-05	17.68194	0.5611793	-1.64671887540236
1008	0.0427530953194946	0	0.779767253249884	0.9997626	0.8578947	0.8081123	0.0001631371	5.089749e-05	0.835833	18.05352	17.8281	0.8136775	18.87024	0.01393053	0.0006457862	14.71201	0.8096953	-1.9390042435154
1009	0.054671491868794	0	0.698660851083696	0.9999418	0.8340918	0.7420056	0.000460018	0.0001666775	0.7902454	17.81795	17.5379	0.9064436	18.66847	0.002443364	4.744396e-05	18.3514	0.4830629	-1.39878346727362
100	0.146845022868365	0	0.577144926600158	0.9999332	0.9009893	0.6968512	0.002432453	0.0007988417	0.8011278	17.7463	17.42918	0.9406987	18.57139	0.0004392129	0	20.23932	0.2570241	-1.18981869175447
1010	0.0902142570819706	0	0.335566986165941	0.9998803	0.5070835	0.3978761	0.0006445899	0.0003299363	0.4512861	16.45695	16.4705	1.10816	17.98069	0	0	22.24816	0	0.397198522836327
1011	0.0205007535871118	0	0.166613530181348	0.85161	0.1825683	0.171709	0.0001001927	1.62132e-05	0.1868421	16.06206	16.07866	0.9647418	17.74259	0	0	13.35235	0	1.95902050731433
1012	0.0451136203482747	0	0.470544289425015	0.9996407	0.5872378	0.5125182	0.000359806	7.732969e-05	0.5526118	16.71751	16.72888	1.183005	18.16453	0	0	23.59404	0.001741195	-0.187132705243135
1013	0.146540769468993	0	0.49535547811538	0.9999382	0.8567076	0.613214	0.00315583	0.001222931	0.7365255	17.50738	17.15304	0.9792276	18.37081	0.0001154788	0	22.36304	0.03913732	-0.834913870149022
1014	0.16020717266947	0	0.134907511994243	0.9996499	0.2111199	0.162095	0.0001455579	5.477309e-05	0.1879897	15.98335	15.98535	1.010249	17.74028	0	0	12.60863	0	2.27413234224744
1015	0.133110008109361	0	0.60706289857626	0.9999783	0.9053423	0.7098964	0.002160665	0.0007426124	0.811852	17.7699	17.47703	0.8839912	18.59054	0.0008960573	0	19.86173	0.308429	-1.32977808995882
1016	0.139286602614447	0	0.3667031660676	0.9998594	0.6856747	0.4652674	0.001997264	0.001339793	0.560091	16.63574	16.65342	1.079131	18.07335	0	0	23.15879	0.0001978631	-0.0118019194210588
1017	0.170004951395094	0	0.685341775044799	0.9991342	0.9595568	0.8006494	0.001514113	0.0005014012	0.8858924	18.09063	17.88938	0.6925902	18.83947	0.009938964	0.0004330254	15.51617	0.7890384	-2.31463223170851
1018	0.0561851713340729	0	0.321739545464516	0.9984281	0.3857539	0.3427986	0.0001361065	7.392547e-05	0.3658488	16.31012	16.31558	1.048962	17.87192	0	0	21.3055	0	0.702319999387235
1019	0.128624933306128	0	0.256093197129667	0.9997925	0.4318164	0.3097904	0.0006979764	0.0002772199	0.3726949	16.3015	16.29895	1.06938	17.85933	0	0	19.86731	0	0.766929736436752
101	0.0543045486789197	0	0.373448892682791	0.9990525	0.4916898	0.4113812	0.0003323875	0.000130103	0.4538979	16.48238	16.48626	1.136527	17.98519	0	0	22.72736	7.914523e-05	0.330045310491627
1020	0.180198157764971	0	0.722321263328195	0.9995317	0.9709537	0.8400459	0.001047723	0.0002774622	0.9125445	18.26632	18.0951	0.583866	18.96853	0.02749022	0.001630258	13.21031	0.9273447	-2.57570875365734
1021	0.146891468251124	0	0.16944813746959	0.9999253	0.2944796	0.2132289	0.000305001	0.0001455738	0.250277	16.10611	16.10007	1.097301	17.78027	0	0	15.52657	0	1.52858303298352
1022	0.124304748140275	0	0.839521293155849	0.9997224	0.967689	0.8914623	0.0004772828	7.324014e-05	0.938425	18.51087	18.36774	0.511294	19.16005	0.09794099	0.01378126	9.578393	0.9896715	-2.99582891919972
1023	0.113471490005031	0	0.516337162069976	0.9998287	0.7899288	0.6016573	0.001937727	0.0006652551	0.6974674	17.28974	17.07619	1.010966	18.35181	0	0	22.67074	0.03181638	-0.72105119687678
1024	0.187460421584547	0	0.69225642029196	0.9998997	0.9697269	0.8074722	0.001586184	0.0004356887	0.8957064	18.12129	17.92504	0.6690548	18.86296	0.01303816	0.000448888	15.13985	0.8148397	-2.31337205475348
1025	0.0164481007028371	0	0.175656891800463	0.8871276	0.1919668	0.1833945	5.342428e-05	8.370502e-06	0.1953304	16.00418	16.02039	1.04513	17.74498	0	0	14.13391	0	2.00742183292739
1026	0.0444459958001971	0	0.239154094271362	0.9790201	0.2887812	0.2578942	0.0001595071	6.976836e-05	0.2814009	16.20339	16.2186	1.065246	17.82292	0	0	17.71666	0	1.09834831902566
1027	0.186062290892005	0	0.291254544444382	0.9998366	0.6529877	0.4023525	0.002885687	0.001199303	0.5240404	16.52904	16.56922	1.057583	18.02038	0	0	22.15768	0	0.178269484301116
