seed	s	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	avg_switches	global_75_prop	iDAT_score
910	0.198865148192272	0.704953832598403	0.9994602	0.9277404	0.8044655	0.0009302356	0.0002391907	0.8722794	18.07345	17.87837	0.6906603	18.84511	0.01134619	0.0004265484	15.35489	0.8022556	-2.19335009325795
911	0.0379578880034387	0.651930378144607	0.9976577	0.7419668	0.6919309	0.0002619861	9.742187e-05	0.7181836	17.66777	17.30822	1.003204	18.52496	0.0008800235	0	20.14911	0.2360902	-1.02960671576184
912	0.0970915010664612	0.740192490047775	0.9997752	0.8706965	0.7885553	0.000379532	0.0001592264	0.8283538	17.97188	17.75039	0.8020002	18.79366	0.007249176	0.000363595	15.83324	0.7297982	-1.80703722874771
913	0.0809026480652392	0.656928286631592	0.9998238	0.7988326	0.7180518	0.0004266629	0.0001720827	0.7518995	17.72459	17.38381	1.017938	18.59212	0.001213682	0	19.36658	0.3565493	-1.2028851288591
914	0.134684230480343	0.706450782367028	0.9996462	0.8742778	0.7717354	0.0007812837	0.0001862254	0.8282944	17.93409	17.70955	0.8060588	18.75381	0.005295795	0.000226316	16.90206	0.6450336	-1.68069241404568
915	0.184033380961046	0.72165127156768	0.9998765	0.9229323	0.8053598	0.0008333728	0.0002787211	0.867412	18.07404	17.8728	0.7517028	18.85787	0.01228427	0.0003644549	15.14846	0.8045113	-2.20382843421825
916	0.0188723368570209	0.714638203801587	0.9639423	0.7429759	0.7185742	0.000253374	2.635765e-05	0.7411357	17.72764	17.4	0.9843628	18.60395	0.001571238	5.326232e-05	18.9704	0.3564306	-1.15105214318746
917	0.162898224173114	0.682866820227355	0.9998933	0.9009497	0.7623892	0.001014546	0.0004073213	0.8339731	17.902	17.66366	0.8283899	18.72704	0.004260553	4.392322e-05	17.29901	0.5943015	-1.78170879891464
918	0.166637134412304	0.743736385111697	0.9997069	0.9231698	0.8241311	0.0005874174	0.0002586793	0.8677087	18.14886	17.9385	0.726954	18.91103	0.01886105	0.0009001865	14.12873	0.872774	-2.28909040590322
919	0.191232537804171	0.721102101868018	0.9999284	0.9294618	0.8066075	0.0007678195	0.0003425112	0.8678275	18.07303	17.86482	0.7424163	18.85765	0.01168707	0.0005534859	14.93649	0.80926	-2.22402844567631
91	0.0559117116034031	0.665548798535019	0.99986	0.7858924	0.7004576	0.0004866013	0.0001471318	0.7445588	17.68965	17.35079	0.9830327	18.56206	0.0007804829	5.035373e-05	19.95018	0.2747131	-1.10574412583999
920	0.0193157263565809	0.709851907449774	0.9958559	0.7493668	0.7180892	0.0001549773	4.249586e-05	0.738148	17.71633	17.38465	1.024091	18.61601	0.001108969	2.640403e-05	19.10894	0.3605065	-1.0686868870391
921	0.0289894810412079	0.696092540514655	0.9997673	0.769351	0.7268217	0.0001862779	3.49262e-05	0.7530669	17.75562	17.44658	0.9921781	18.63484	0.001748836	0	18.87982	0.4001187	-1.24139823467065
922	0.152247099764645	0.674281390290707	0.9997309	0.8909972	0.7633654	0.0008535061	0.0003934556	0.8221607	17.89202	17.63177	0.8888767	18.71756	0.003442073	4.441385e-05	17.50764	0.5958053	-1.59039322909219
923	0.00882098167203367	0.658449341217056	0.9867009	0.6875742	0.6625905	0.0001020227	1.857684e-05	0.6834586	17.56033	17.147	1.115164	18.44703	0.0003741007	0	21.093	0.1421053	-0.780106006907786
924	0.132139385631308	0.715847479295917	0.9985995	0.8839533	0.7875746	0.0006575101	0.0001463414	0.8485952	17.982	17.7439	0.8293382	18.78998	0.007476217	0.0002462227	16.13366	0.724258	-1.96577108462644
925	0.126333609316498	0.693630796996877	0.9999053	0.879442	0.7655904	0.0007481634	0.0002242106	0.8266522	17.89645	17.66075	0.8250561	18.71999	0.004297253	0.0002024884	17.23977	0.6094579	-1.63285768571769
926	0.132131722476333	0.653682690649293	0.9997111	0.8477444	0.733971	0.0008354849	0.0002526286	0.792224	17.81168	17.52841	0.9182386	18.6531	0.002030575	2.333995e-05	18.6627	0.4428571	-1.31563392278494
927	0.0190269098151475	0.683567237830721	0.9497784	0.7057974	0.687943	0.0001006993	6.718635e-06	0.7058172	17.63721	17.2637	1.038833	18.50766	0.0006167475	8.410193e-05	20.35712	0.2265928	-1.0042976062585
928	0.182239414658397	0.688760418398306	0.9998036	0.9124258	0.7784583	0.0009629729	0.0004458766	0.8406015	17.95645	17.73472	0.8026178	18.75903	0.004792471	0.0001734831	16.72772	0.6788287	-1.72841803053393
929	0.0985433123074472	0.663385187229142	0.9993947	0.8262169	0.7249223	0.0006370476	0.0002306197	0.780372	17.75086	17.45176	0.909758	18.60907	0.001388989	2.394808e-05	19.14604	0.3880491	-1.24170983033222
92	0.00380250294692814	0.663558656722307	0.3893937	0.6587455	0.6620662	0.0001153987	6.56171e-06	0.6809656	17.41275	17.11476	1.077975	18.43821	0.0002703271	3.003634e-05	20.99296	0.1344282	-0.727504657741923
930	0.115741483401507	0.735869521298446	0.9997099	0.895647	0.8001255	0.000542457	0.0002606096	0.8462208	18.04465	17.82784	0.7686081	18.83034	0.009963328	0.0003313745	15.30653	0.7838148	-1.89046559488877
