seed	s	m	bene_prop	var_prop	median_tract	mean_tract	iDAT_score
1000	0	0.686353366402909	0.6482558	0.0007705397	17.75933	17.40813	-1.01479852580755
100	0	0.729044859390706	0.7383721	0.0006499229	17.85941	17.54275	-1.00519396010673
101	0	0.704342529503629	0.7180233	0.0007007918	17.69964	17.41384	-1.0342397631864
102	0	0.725722690648399	0.7151163	0.0004385981	17.82033	17.54695	-0.91295944959172
103	0	0.745704026520252	0.747093	0.0005902377	17.9826	17.71541	-1.62247090737387
104	0	0.719056563172489	0.7063953	0.0005470071	17.76679	17.45017	-1.03584745987392
105	0	0.687059868313372	0.7005814	0.0007068231	17.69889	17.36213	-0.82010343722063
106	0	0.704389856266789	0.7354651	0.0006480657	17.62742	17.22103	-0.676945212336809
107	0	0.711526781343855	0.7151163	0.0008420343	17.71136	17.43051	-0.804040920771737
108	0	0.714271926064976	0.6976744	0.0007005211	17.84602	17.57663	-1.27528635595954
109	0	0.713769555254839	0.7093023	0.0007148543	17.72621	17.41458	-1.02105320970071
10	0	0.650056807254441	0.6773256	0.0007957691	17.51189	17.14858	-0.731116842795182
110	0	0.67744931045454	0.6947674	0.0007245285	17.68792	17.33889	-0.943844410858691
111	0	0.731734419753775	0.7325581	0.0006018821	17.87709	17.60319	-1.56953803983933
112	0	0.713625745126046	0.744186	0.000544048	17.71871	17.35352	-0.684970965312087
113	0	0.692588572972454	0.7703488	0.0008206791	17.74025	17.48191	-0.96652576189049
114	0	0.670206460170448	0.6075581	0.0005351928	17.69426	17.34922	-0.723352395589909
115	0	0.729218434076756	0.7034884	0.0004295165	17.89884	17.63849	-1.16145728534256
116	0	0.740231025102548	0.7296512	0.0004000318	17.86134	17.63385	-1.55548417642807
117	0	0.666250268532895	0.6773256	0.0005378557	17.68537	17.34808	-0.698586770881108
118	0	0.688213167595677	0.6744186	0.0008495256	17.79595	17.49366	-0.969307851922364
119	0	0.726751842536032	0.7093023	0.0007961309	17.87929	17.55274	-1.1851215321392
11	0	0.738198583200574	0.7005814	0.0006459465	17.78266	17.55289	-1.43651592186199
120	0	0.714862179220654	0.7616279	0.0007091529	17.70271	17.36957	-1.18217594483465
121	0	0.747121141129173	0.7238372	0.000429402	17.82781	17.46467	-0.944099353009358
122	0	0.747474158066325	0.75	0.0005827201	17.87089	17.54759	-1.12611986956996
123	0	0.70085247035604	0.7122093	0.0007258825	17.76625	17.47449	-1.04526858570978
124	0	0.698852270585485	0.7209302	0.0005062794	17.57737	17.28501	-0.885777731052018
125	0	0.718930770503357	0.7122093	0.0007651575	17.81953	17.60394	-1.21975292034612
126	0	0.718774012639187	0.7267442	0.000977717	17.71337	17.40032	-1.05606490521584
127	0	0.700000814371742	0.6860465	0.0006087042	17.79198	17.48689	-0.975883735066867
128	0	0.669683072878979	0.7093023	0.000695905	17.6927	17.33624	-0.806853812557826
129	0	0.703384579648264	0.7093023	0.0007166	17.87864	17.64593	-1.24687256439914
12	0	0.712399517861195	0.6947674	0.0008218469	17.69916	17.47596	-1.09292250572143
130	0	0.691288743307814	0.6540698	0.0008029739	17.74069	17.41649	-1.04591091973814
131	0	0.729784383019432	0.75	0.0006878998	17.80085	17.42837	-1.16848168499972
132	0	0.714397061592899	0.747093	0.0005466381	17.75072	17.37501	-1.06360167618028
133	0	0.702906846161932	0.6569767	0.0006906257	17.67554	17.36478	-0.776564612404052
134	0	0.690005167853087	0.7209302	0.0009037128	17.6495	17.34468	-0.786841396274581
135	0	0.71638731888961	0.7180233	0.0008656459	17.7512	17.50379	-1.20266193876049
136	0	0.692386259231716	0.7267442	0.0004807636	17.65783	17.29422	-0.688558199533865
137	0	0.692722804611549	0.6511628	0.0006277001	17.73765	17.37696	-0.90238455441946
138	0	0.679820215189829	0.7325581	0.0007577125	17.71772	17.40446	-1.01615387630967
139	0	0.724233909440227	0.7209302	0.0007318677	17.83971	17.58859	-1.43404428663567
13	0	0.660088084870949	0.630814	0.0005257895	17.3313	17.20217	-0.41317122881598
