seed	s	m	bene_prop	var_prop	median_tract	mean_tract	iDAT_score
1000	0	0.664496195269749	0.6627907	0.0005823361	17.45822	17.12616	-0.715219285244143
100	0	0.731142224580981	0.7383721	0.0008122834	17.77637	17.51874	-1.17936441952745
101	0	0.711255758395419	0.7703488	0.0006433728	17.68663	17.34579	-1.09153942475699
102	0	0.740514429076575	0.7994186	0.0005790664	17.79172	17.52425	-1.20592022462803
103	0	0.71167899700813	0.7063953	0.0005674004	17.67002	17.32811	-1.09857744690109
104	0	0.673102816846222	0.6569767	0.0008771475	17.56234	17.17742	-0.603745288333596
105	0	0.739028096105903	0.7383721	0.0007240869	17.74162	17.43044	-1.20179534298477
106	0	0.73685532475356	0.7325581	0.0005120325	17.77216	17.4402	-1.46567977296982
107	0	0.688263050629757	0.7267442	0.0007739448	17.6695	17.30742	-1.08651007019146
108	0	0.745247784070671	0.7848837	0.0004640348	17.76642	17.43561	-1.33900727197771
109	0	0.676135114976205	0.6744186	0.0008824227	17.44658	17.11682	-0.707356128464552
10	0	0.749974407395348	0.7122093	0.0005137447	17.76761	17.50561	-1.09068031194558
110	0	0.70351701208856	0.7005814	0.0008115878	17.68643	17.33168	-1.01864780231153
111	0	0.664783451426774	0.6976744	0.0004900723	17.44805	17.18188	-0.929601986878005
112	0	0.669817763287574	0.625	0.0008883464	17.50349	17.18235	-0.679679861113664
113	0	0.673915998847224	0.6744186	0.0007848322	17.58103	17.23829	-0.895510937168696
114	0	0.66448021682445	0.6482558	0.0005404254	17.56514	17.16442	-0.525089508597716
115	0	0.706111308909021	0.7034884	0.0007126014	17.60285	17.24761	-0.859777849156401
116	0	0.69972531881649	0.6831395	0.0006011515	17.65778	17.34668	-0.918979818198573
117	0	0.692346729710698	0.7005814	0.0006017989	17.69174	17.33171	-0.966057464037072
118	0	0.696421305276454	0.6860465	0.000758259	17.52651	17.1618	-0.783219905786486
119	0	0.690291455783881	0.7325581	0.0005943366	17.66427	17.25702	-0.883816039023165
11	0	0.697575167939067	0.744186	0.0005390331	17.60098	17.26147	-1.23093014897423
120	0	0.703528251615353	0.6831395	0.0007575812	17.69612	17.30749	-1.26401396490814
121	0	0.710103349504061	0.6976744	0.0008019493	17.64569	17.30359	-1.01764615015731
122	0	0.682477492163889	0.6918605	0.001061893	17.62628	17.28461	-0.785967763286469
123	0	0.708899130788632	0.6686047	0.0004212113	17.66398	17.31781	-1.10574430803457
124	0	0.695846484648064	0.7151163	0.0006490669	17.7708	17.43136	-1.25929717968636
125	0	0.723017498035915	0.7267442	0.0006559536	17.76265	17.43316	-1.01539952022112
126	0	0.66422885125503	0.6598837	0.0005525825	17.2837	17.02581	-0.684549989668537
127	0	0.714218352059834	0.7063953	0.0005245344	17.66436	17.31301	-1.0301694798056
128	0	0.749521758314222	0.7587209	0.0005843086	17.85004	17.45283	-1.11350389308065
129	0	0.741132545354776	0.7093023	0.0004949632	17.74798	17.47385	-1.15578761190472
12	0	0.654691541055217	0.6366279	0.0006906666	17.61128	17.21294	-0.941826794130861
