seed	s	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	avg_switches	global_75_prop	iDAT_score
1000	0	0.691553394822404	0.4545152	0.686	0.6798354	0.001570061	0.0005497917	0.751	17.82166	17.55003	0.9833512	18.75411	0.02332362	0.02113703	17.984	0.226	-1.42031086708591
100	0	0.741900711040944	0.3007501	0.703	0.7247131	0.0009118794	0.0002475227	0.772	17.87715	17.62328	1.033586	18.87459	0.04054054	0.03129445	16.8415	0.407	-1.35074670795284
101	0	0.673346958705224	0.5435966	0.6545	0.64132	0.001385678	0.0002158719	0.7065	17.61277	17.257	1.140893	18.78619	0.02521008	0.02139037	18.9905	0.14	-0.584373601063929
102	0	0.748283936385997	0.2526308	0.747	0.7706357	0.001933499	0.0001432181	0.841	17.94728	17.68172	1.05199	19.02521	0.04819277	0.02409639	15.497	0.647	-1.42523357645911
103	0	0.717490691016428	0.6767558	0.779	0.7631976	0.001229953	0.0003633337	0.811	17.98394	17.73028	1.045251	19.00256	0.04428755	0.0224647	14.8615	0.607	-1.56976205934536
104	0	0.657116399868391	0.1592575	0.64	0.6763853	0.001222992	0.0002726714	0.7365	17.62063	17.27935	1.33743	18.76962	0.0296875	0.02578125	19.662	0.218	-0.640080645406424
105	0	0.737888374365866	0.4855059	0.752	0.7569483	0.0007438307	0.0001857193	0.7985	17.88319	17.62203	1.099655	18.92466	0.03324468	0.02393617	15.8955	0.563	-1.11296970572127
106	0	0.660236993990839	0.3834122	0.6685	0.6701653	0.001277997	0.0005897536	0.74	17.59464	17.28045	1.071491	18.68734	0.03141361	0.02617801	18.6425	0.21	-0.618776380602853
107	0	0.737624296220019	0.5711063	0.7225	0.7132401	0.0006607918	0.0006780036	0.76	17.77816	17.44697	1.237256	18.87794	0.03114187	0.02560554	17.038	0.366	-0.910334808930403
108	0	0.692134269699454	0.4703702	0.6605	0.6609093	0.001213916	0.0006192785	0.7185	17.67093	17.37275	1.084701	18.74701	0.0325511	0.02725208	18.879	0.178	-0.774102160413703
