seed	s	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	avg_switches	global_75_prop	iDAT_score
1000	0	0.662609795667231	0.05687204	0.585	0.6356009	0.001401258	0.0004089646	0.71	17.03111	16.97747	1.087016	18.30431	0	0	21.393	0.076	-0.63884124953937
100	0	0.708770617120899	0.2177562	0.673	0.7041595	0.001689669	0.0002038848	0.765	17.73362	17.34893	1.042016	18.59968	0.002971768	0	19.458	0.274	-0.971404605211032
101	0	0.718118200474419	0.9025327	0.766	0.704026	0.002681175	0.0003043525	0.78	17.77542	17.38843	1.067909	18.54483	0.0006527415	0	19.708	0.268	-0.943931885673037
102	0	0.69693881419953	0.3995834	0.663	0.6690934	0.001254852	0.0003286226	0.725	17.50924	17.13909	1.1692	18.49433	0	0	20.987	0.154	-0.562032782915236
103	0	0.713659104052931	0.2315019	0.642	0.6789942	0.002331263	0.0001756808	0.7635	17.47449	17.08746	1.137231	18.39872	0	0	20.4145	0.167	-0.59681793653691
104	0	0.734674113895744	0.03246942	0.6665	0.7365275	0.001617544	0.0002736291	0.801	17.70684	17.39598	0.8854653	18.65628	0.001500375	0	18.3905	0.473	-1.30501264100634
105	0	0.680483040865511	0.3901441	0.683	0.6881714	0.001394414	0.000841225	0.7445	17.67908	17.24674	1.118683	18.49314	0	0	19.8225	0.229	-0.922535580644618
106	0	0.739764877315611	0.08794824	0.659	0.712814	0.001413403	0.0004440613	0.773	17.71619	17.30031	1.146834	18.51913	0.001517451	0	19.7155	0.316	-0.901681931141068
107	0	0.730178647255525	0.8604521	0.7895	0.7495369	0.002261175	0.0002705274	0.822	17.8657	17.58571	0.9280077	18.67298	0.0006333122	0	18.0745	0.51	-1.28760704765915
108	0	0.71814947144594	0.5920136	0.7025	0.6940788	0.001464594	0.0003044968	0.7635	17.60482	17.2088	1.196053	18.51223	0.001423488	0	19.726	0.252	-0.831619163090055
109	0	0.689154352457263	0.4808226	0.666	0.6607795	0.002286682	0.0006257778	0.7435	17.4536	17.13533	1.177409	18.4904	0.0007507508	0	20.5895	0.14	-0.503997287256818
10	0	0.672011961508542	0.4555016	0.709	0.7280795	0.001295536	0.0005643602	0.7805	17.73554	17.40532	1.085321	18.62657	0.001410437	0	18.591	0.419	-1.13485517601233
110	0	0.701799835520796	0.7835981	0.7225	0.6952128	0.00115639	0.0001731266	0.7525	17.74941	17.4877	0.8191824	18.59554	0.001384083	0	19.9195	0.263	-1.05849669559536
111	0	0.74487740623299	0.1350813	0.66	0.6991321	0.001392165	0.0005313654	0.762	17.35457	17.079	1.293826	18.51964	0	0	19.359	0.275	-0.656629935905639
112	0	0.731194029073231	0.03336882	0.7415	0.7842869	0.0005308292	0.0002682682	0.818	17.8854	17.59969	0.9880832	18.77779	0.009440324	0.0006743088	16.3525	0.698	-1.69194615462429
113	0	0.737096354458481	0.3505258	0.7245	0.7377164	0.0007307517	0.0001718837	0.7795	17.75684	17.47108	1.004796	18.7181	0.004140787	0	17.921	0.448	-1.0019468038806
114	0	0.73698899152223	0.8878519	0.785	0.7486061	0.001131035	0.000263964	0.7995	17.81159	17.51706	1.019706	18.70949	0.003184713	0	18.183	0.523	-1.34020416845996
115	0	0.730879472126253	0.2083138	0.7195	0.7427812	0.001381198	0.001645995	0.804	17.67216	17.27745	1.204417	18.62233	0.002084781	0	18.449	0.479	-0.883320925688605
