seed	s	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	avg_switches	global_75_prop	iDAT_score
1000	0	0.713707086956129	0.4861951	0.7125247	0.7132359	7.903488e-05	3.759197e-05	0.7269094	17.7724	17.47241	1.178433	18.84005	0.0299353	0.02210436	17.44408	0.3684606	-0.92389768506711
100	0	0.717998323682696	0.8431156	0.71296	0.7041613	6.125558e-05	2.055684e-05	0.7170954	17.76487	17.47285	1.10391	18.80968	0.02825188	0.02156357	17.79377	0.3358924	-0.998381696203154
101	0	0.697299807262607	0.4169888	0.6908983	0.6914977	4.997664e-05	1.884229e-05	0.7027305	17.72703	17.42248	1.135179	18.82334	0.03113008	0.02362678	18.24011	0.2823902	-0.914746880383302
102	0	0.709132204391062	0.3727545	0.7089038	0.7109707	7.255307e-05	1.037927e-05	0.7267709	17.76695	17.46278	1.167975	18.84543	0.03156749	0.02436642	17.43951	0.3654135	-1.00873869522137
103	0	0.671924240607768	0.9750853	0.6703997	0.6531011	5.563144e-05	2.09681e-05	0.6670756	17.65	17.30327	1.176606	18.73854	0.02700549	0.02045334	19.31856	0.1609023	-0.760310971549659
104	0	0.680623232596554	0.9176513	0.685556	0.6702089	0.0001102612	6.12607e-05	0.6890384	17.67747	17.33387	1.198168	18.75033	0.02747633	0.02219464	19.12151	0.2022556	-0.846911382092083
105	0	0.660834418679588	0.257514	0.6503957	0.6554799	5.214891e-05	3.083276e-05	0.6665809	17.64314	17.28663	1.211351	18.73427	0.02704512	0.02111284	19.18609	0.1703601	-0.726317656438957
106	0	0.722464151890017	0.9746986	0.72315	0.7087216	7.266799e-05	1.013015e-05	0.7217649	17.77093	17.48599	1.107494	18.84282	0.03124658	0.02344862	17.64385	0.3459438	-0.99654601423849
107	0	0.700919697969221	0.1234466	0.6932133	0.7033474	0.0001042358	1.047053e-05	0.7227543	17.75213	17.44873	1.144984	18.82683	0.03162552	0.02397602	17.8181	0.3285714	-1.00508621042628
108	0	0.70718218635302	0.4137626	0.6966561	0.6986031	0.0001048588	2.286018e-05	0.7161456	17.73927	17.43771	1.122061	18.81112	0.03004914	0.02416996	17.89707	0.3096161	-0.99093358880758
109	0	0.669960676552728	0.2213659	0.6628611	0.6692457	7.486809e-05	2.547397e-05	0.6855164	17.6758	17.3208	1.216779	18.76286	0.02808871	0.02116355	18.96882	0.2019391	-0.735514892932917
10	0	0.724383023497648	0.2682477	0.7181045	0.723375	0.0001196391	1.295834e-05	0.7471508	17.79872	17.52372	1.088994	18.86722	0.03185187	0.0238338	17.03811	0.4170558	-1.05985337464549
110	0	0.690334434062242	0.2800269	0.6799169	0.6841048	4.985554e-05	9.867661e-06	0.6968342	17.70558	17.36823	1.225311	18.77282	0.02869365	0.02205861	18.44848	0.2546894	-0.855006173696688
