seed	s	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	avg_switches	global_75_prop	iDAT_score
1000	0	0.7457394820638	0.07338788	0.7588049	0.7941611	0.0006320226	4.342915e-05	0.8358726	17.90375	17.63329	1.036264	18.80158	0.008344198	0	15.61318	0.7475267	-1.72821358669876
100	0	0.699325289111584	0.2754148	0.7160665	0.7342316	0.00111634	0.0001153001	0.7898694	17.76224	17.45772	0.9621863	18.6365	0.0005526389	0	18.15968	0.447962	-1.20131612803424
101	0	0.660803271667101	0.9101755	0.66759	0.63178	0.0009190843	0.0002458776	0.6764939	17.07695	17.00478	1.087279	18.36417	0	0	22.11733	0.0696478	-0.583806546004212
102	0	0.719489129004069	0.6737986	0.7451524	0.7355979	0.0007390249	0.0001319656	0.7851207	17.75589	17.44106	0.9290569	18.61785	0.003451938	0	18.69628	0.4538979	-1.36371713445604
103	0	0.683520255214535	0.09517219	0.6442422	0.6847887	0.001114293	5.767923e-05	0.7425801	17.64797	17.27286	1.054108	18.49604	0	0	20.15433	0.2279383	-0.864301965734407
104	0	0.721548455418088	0.3479422	0.7443609	0.7578466	0.000684581	0.0001622995	0.7938267	17.84832	17.54593	1.026232	18.70471	0.002392344	0	17.7681	0.5690542	-1.36122635161916
105	0	0.653393248515204	0.5226255	0.6594776	0.6610288	0.0006443188	0.0006386028	0.7067669	17.5954	17.20974	1.036777	18.50087	0.00030003	0	20.86565	0.1381084	-0.787021819135579
106	0	0.740455238427967	0.8839062	0.7855164	0.7520862	0.001045499	0.0004864035	0.7940245	17.7535	17.51855	0.8778073	18.70425	0.004785894	0	17.85853	0.5271072	-1.19438086992443
107	0	0.743558037118055	0.3850643	0.7328848	0.7421901	0.0008488894	0.0002574495	0.7944203	17.79851	17.5192	0.9046047	18.65299	0.002699784	0	17.75425	0.494262	-1.04503966433984
108	0	0.743193960189819	0.5104468	0.7564306	0.7579958	0.0006608844	4.973297e-05	0.7969925	17.80718	17.51842	0.9908554	18.70834	0.00392362	0	17.77028	0.5714286	-1.50727295952565
109	0	0.676161213847809	0.2260217	0.6509695	0.6765362	0.0006014487	0.0001703036	0.7158686	17.62997	17.23798	1.048265	18.46908	0.0006079027	0	21.10467	0.1689751	-0.859752012262025
10	0	0.698646817798726	0.7991189	0.7140879	0.6931051	0.0004312631	0.0002261823	0.7336763	17.6216	17.27819	1.0281	18.54723	0.0008312552	0	19.91907	0.23704	-0.883129667002486
110	0	0.738911027321592	0.4426466	0.7275425	0.7327641	0.0008062623	0.0005097988	0.7807677	17.7871	17.479	1.008184	18.69451	0.001903726	0	18.59656	0.4325287	-1.24486706415043
111	0	0.686991936690174	0.8445892	0.7605857	0.7218848	0.001338346	0.0002004562	0.7795805	17.74215	17.44931	0.8931017	18.59571	0.0005202914	0	19.17076	0.3719826	-1.5294351766939
112	0	0.725733792129904	0.6678275	0.7671152	0.7530714	0.0005826119	0.0001361385	0.7894737	17.78921	17.48077	1.022882	18.66343	0.001031726	0	17.9721	0.5350218	-1.47035725277707
113	0	0.712602945324033	0.2078264	0.6501781	0.673148	0.000809937	0.0005230694	0.7194302	17.52709	17.16926	1.184861	18.55828	0.0006086427	0	20.5651	0.1836169	-0.894233039585006
114	0	0.694375474122353	0.805631	0.7178472	0.6964014	0.0008971676	0.0004136722	0.7461417	17.70684	17.30966	1.119631	18.55665	0.000275634	0	20.25129	0.2481203	-0.810768213791451
115	0	0.718652539537288	0.3144539	0.6836169	0.6946304	0.001029668	0.000353247	0.7566284	17.54832	17.13042	1.218157	18.45947	0.0002894356	0	19.93095	0.2611793	-0.723128793722417
116	0	0.734722428023815	0.1808763	0.7421844	0.7665337	0.0006206852	0.0001926692	0.804907	17.87556	17.57679	1.010134	18.75192	0.004265529	0	17.28176	0.6204986	-1.50929674140675
117	0	0.745852365368046	0.2929034	0.7275425	0.7420038	0.001015505	0.0001515562	0.7857143	17.81856	17.48844	1.087623	18.66429	0.002175687	0	18.14543	0.4784329	-1.21692982280166
118	0	0.710147923091426	0.4752813	0.7316977	0.7355882	0.0008133904	7.333364e-05	0.7779976	17.6789	17.32573	1.174846	18.62177	0.002704164	0	18.78195	0.4459834	-0.966893676962973
119	0	0.669364952319302	0.6861779	0.729719	0.7093468	0.001047241	0.0002674447	0.7698852	17.6892	17.31625	1.077499	18.54414	0.001626898	0.0002711497	18.99505	0.3082707	-0.94669785386673
11	0	0.730451092449948	0.04251712	0.6622477	0.7093878	0.0009231615	7.467704e-05	0.7657301	17.6945	17.37502	1.03253	18.6387	0.00179265	0	18.71092	0.3252869	-0.83252555418359
120	0	0.667453378206119	0.4355265	0.6905421	0.690305	0.0007597671	0.0002977887	0.7402058	17.58484	17.2501	0.9616302	18.51755	0.0005730659	0	19.98457	0.241393	-0.971515794514015
121	0	0.723431965243071	0.1004627	0.6939058	0.7340171	0.0009682439	0.0003034775	0.7781955	17.68736	17.32527	1.053352	18.59849	0.00142572	0	18.64088	0.434903	-0.718788418819536
122	0	0.720792175503448	0.7769177	0.7477246	0.7267074	0.0006922939	0.0001563516	0.7714681	17.72192	17.38377	0.9976835	18.60501	0.001058481	0	18.60843	0.3941433	-1.11920632610251
123	0	0.650859741121531	0.9484472	0.7036011	0.6539085	0.001373319	0.0001603078	0.7039968	17.61551	17.19839	1.109337	18.44156	0.0005624297	0	21.27918	0.1175307	-1.18766130546867
124	0	0.690323484991677	0.1827515	0.6545311	0.689812	0.001194739	0.0002972568	0.742778	17.68653	17.36229	0.9010648	18.5104	0.0006045949	0	19.815	0.2255639	-1.19634610203608
125	0	0.673996517481282	0.7274987	0.7024139	0.6865934	0.001067123	0.0003824466	0.7390186	17.649	17.2893	0.9947693	18.56312	0.0005633803	0	20.4725	0.2132964	-0.987767603939569
126	0	0.708096225326881	0.4843842	0.744163	0.7520806	0.0007374079	0.0003188025	0.7902651	17.78979	17.43299	1.121169	18.68964	0.003456528	0	17.87416	0.534626	-1.16873010055586
127	0	0.653287549386732	0.6071879	0.6434507	0.63197	0.0009175425	0.000175481	0.6723387	17.22105	17.05214	1.070922	18.36879	0	0	22.18975	0.07439652	-0.769686971635167
128	0	0.680467928084545	0.1981117	0.6622477	0.6801249	0.0005720447	0.0008096472	0.7202216	17.55291	17.22509	0.9457057	18.44451	0.00059755	0	20.68283	0.1958844	-0.92538354786722
129	0	0.683882403606549	0.5346647	0.695093	0.6907264	0.0005157559	6.427478e-05	0.7299169	17.61756	17.24788	0.9975802	18.52437	0	0	20.01998	0.2358528	-0.863872858121191
12	0	0.656748846871778	0.06310353	0.5755837	0.6214676	0.0009022219	0.000576595	0.6697665	17.15383	16.99518	1.170087	18.38314	0.0003437607	0	22.16284	0.05500594	-0.502916741802994
130	0	0.712151598813944	0.9741365	0.7536605	0.7141071	0.0005281376	0.0001394911	0.7477246	17.6804	17.33166	1.059149	18.55688	0.00131268	0	19.47665	0.3541749	-0.910281846970794
131	0	0.742313524498604	0.4886162	0.7704788	0.7692706	0.0007044586	0.0001087892	0.8233083	17.85197	17.53366	1.009039	18.68428	0.002054443	0	16.53146	0.6280174	-1.1119435297143
132	0	0.691275731986389	0.2145698	0.6523546	0.680638	0.0009025512	0.0001275905	0.7192323	17.61617	17.26795	0.9863216	18.47948	0	0	20.41334	0.208152	-0.776025754899759
133	0	0.688765646587126	0.2609505	0.6703601	0.6890371	0.0006068382	0.0006439521	0.7320934	17.60029	17.22043	1.082401	18.50899	0.002066116	0	20.01049	0.2366442	-0.854224145031095
134	0	0.726994343218394	0.6236538	0.699446	0.6926253	0.0005291635	0.0001548523	0.7320934	17.69786	17.26741	1.481982	18.52333	0.0002828854	0	19.98061	0.2406015	-0.733884280366736
135	0	0.705685173207894	0.2205589	0.6915315	0.7087147	0.0005589234	0.0004489942	0.7423823	17.69402	17.33093	1.036266	18.53082	0.000286123	0	19.33281	0.3153937	-0.942813744720965
136	0	0.712433262472041	0.2874709	0.7257618	0.7409064	0.0007672908	0.0002063589	0.7799763	17.75958	17.47132	0.9101324	18.65756	0.001090513	0	18.18342	0.4717056	-1.12871844255796
137	0	0.706174406642094	0.4492111	0.708152	0.7107281	0.0006107572	0.0002103988	0.7497032	17.76631	17.44534	0.9855216	18.61626	0.001117631	0	19.28195	0.3300356	-1.26321734382027
