seed	s	m	bene_prop	var_prop	median_tract	mean_tract	iDAT_score
1000	0	0.7457394820638	0.755814	0.001066593	17.89996	17.67745	-1.78197419306746
100	0	0.699325289111584	0.6831395	0.001537125	17.77064	17.45287	-1.11326129791613
101	0	0.660803271667101	0.6889535	0.001253633	17.26889	17.10185	-0.473327207590977
102	0	0.719489129004069	0.7209302	0.0009478116	17.67031	17.31512	-1.22701931004105
103	0	0.683520255214535	0.6424419	0.001155215	17.67758	17.32145	-1.04312147387027
104	0	0.721548455418088	0.7325581	0.001396355	17.80108	17.52277	-1.15816262513337
105	0	0.653393248515204	0.6424419	0.001239887	17.59993	17.14766	-0.522305353446091
106	0	0.740455238427967	0.7848837	0.001372932	17.77074	17.55619	-1.22364938702113
107	0	0.743558037118055	0.7645349	0.001032678	17.77842	17.48733	-0.915995501882408
108	0	0.743193960189819	0.7412791	0.001175974	17.7523	17.47937	-1.43070162986568
109	0	0.676161213847809	0.6686047	0.001105289	17.6218	17.22071	-0.679587274498647
10	0	0.698646817798726	0.7325581	0.001072656	17.63862	17.29438	-0.843154501484864
110	0	0.738911027321592	0.7093023	0.001446682	17.87898	17.58115	-1.2017620734581
111	0	0.686991936690174	0.7761628	0.001514752	17.7416	17.50691	-1.60628408110288
112	0	0.725733792129904	0.7703488	0.001109727	17.73837	17.47463	-1.64210679964135
113	0	0.712602945324033	0.5959302	0.001163345	17.51237	17.05452	-0.712095834704087
114	0	0.694375474122353	0.7180233	0.001297315	17.6826	17.32853	-0.79613289109076
115	0	0.718652539537288	0.6976744	0.002272632	17.5612	17.17433	-0.529959933373955
116	0	0.734722428023815	0.7296512	0.001084182	17.87579	17.59479	-1.23635693776649
117	0	0.745852365368046	0.7412791	0.001858596	17.88028	17.58038	-1.46986034757793
118	0	0.710147923091426	0.7267442	0.001237307	17.70332	17.32142	-0.898042861879295
119	0	0.669364952319302	0.744186	0.001180946	17.74473	17.36412	-1.10336740160391
11	0	0.730451092449948	0.6802326	0.001273284	17.68786	17.40432	-0.852259164801034
120	0	0.667453378206119	0.6744186	0.001389615	17.61936	17.25174	-1.03764265216369
121	0	0.723431965243071	0.6831395	0.001526904	17.66716	17.36698	-0.769976104526274
122	0	0.720792175503448	0.7005814	0.0008722111	17.713	17.329	-0.920650064502757
123	0	0.650859741121531	0.7034884	0.001552401	17.6383	17.25032	-1.18077825958814
124	0	0.690323484991677	0.6511628	0.001790915	17.71298	17.42884	-1.12958668199468
125	0	0.673996517481282	0.7267442	0.0009811486	17.59516	17.26023	-1.15378065271057
126	0	0.708096225326881	0.7296512	0.001200239	17.76491	17.40408	-1.10689767032438
127	0	0.653287549386732	0.622093	0.001479831	17.14284	17.08792	-0.735427525947711
128	0	0.680467928084545	0.6976744	0.001002789	17.59027	17.25235	-0.973950881096106
129	0	0.683882403606549	0.6656977	0.001180148	17.61525	17.26459	-0.934331434599724
12	0	0.656748846871778	0.5872093	0.001131269	17.14828	16.9824	-0.568909710247156
130	0	0.712151598813944	0.7412791	0.0009890509	17.66994	17.2761	-0.696922195700997
131	0	0.742313524498604	0.7819767	0.0009216562	17.87843	17.6442	-1.32321182529621
132	0	0.691275731986389	0.6424419	0.0009978694	17.67472	17.31207	-0.699221737552228
133	0	0.688765646587126	0.6831395	0.001286763	17.50661	17.18861	-0.631165282832019
134	0	0.726994343218394	0.7238372	0.001258391	17.73083	17.31386	-0.788783558338937
135	0	0.705685173207894	0.6424419	0.001061734	17.64485	17.24305	-0.893899934084265
136	0	0.712433262472041	0.75	0.00124886	17.73835	17.47004	-0.986652464615192
137	0	0.706174406642094	0.6686047	0.0009618586	17.78898	17.56051	-1.36211586107142
138	0	0.685370134725235	0.6424419	0.001525092	17.65756	17.32042	-0.76936734746054
139	0	0.744479597778991	0.8168605	0.0009438379	17.7894	17.43886	-0.895565138516978
13	0	0.747449898789637	0.7267442	0.0008862488	17.94831	17.61396	-1.9224584569777
140	0	0.675909158797003	0.5901163	0.001630938	17.66104	17.25673	-0.997146482214909
141	0	0.658115625428036	0.7005814	0.001942068	17.66046	17.23085	-0.736111288942121
142	0	0.671334437909536	0.7267442	0.0009352909	17.72798	17.3609	-0.993955575439224
143	0	0.665090283099562	0.6889535	0.00122681	17.49128	17.11518	-0.966916843194876
144	0	0.725857021263801	0.755814	0.0009778516	17.72599	17.42017	-1.21606984772588
145	0	0.738604248245247	0.7703488	0.001445959	17.6975	17.34473	-1.04094313879757
146	0	0.72492477025371	0.7122093	0.002771699	17.76586	17.55375	-1.39849658552726
147	0	0.660662129032426	0.6918605	0.001335198	17.46082	17.08586	-0.80500042447643
148	0	0.661385609512217	0.7093023	0.002242515	17.3652	17.0669	-0.738908033977785
149	0	0.698659796291031	0.6802326	0.001014394	17.58798	17.16732	-0.764195295784932
14	0	0.730840608174913	0.7936047	0.001204367	17.81444	17.54762	-1.28463184098787
150	0	0.652450602035969	0.6802326	0.001863703	17.60158	17.2471	-1.02449246745571
151	0	0.684181949659251	0.6511628	0.001519572	17.46498	17.09988	-0.738859802437178
152	0	0.713176263915375	0.6802326	0.001197587	17.7004	17.37345	-1.08213162332815
153	0	0.675027750036679	0.7209302	0.001153995	17.66152	17.31442	-0.930889406225919
154	0	0.715042957128026	0.747093	0.001435928	17.80204	17.51835	-0.954158308448487
155	0	0.727549654617906	0.7122093	0.001145469	17.85222	17.51783	-1.06607132390628
156	0	0.657066243863665	0.627907	0.001893377	17.40456	17.19096	-0.872188211550792
157	0	0.722747631114908	0.75	0.0009795635	17.62456	17.22403	-0.772594950131771
158	0	0.670001679169945	0.7965116	0.001746182	17.77377	17.52318	-1.24522328183997
159	0	0.67250792873092	0.6802326	0.001327878	17.50782	17.17406	-0.70141790011773
15	0	0.745047899778001	0.7761628	0.001023272	17.95005	17.73698	-1.42607755688356
160	0	0.7455534724053	0.7703488	0.0009025727	17.82163	17.4949	-1.53715695837799
161	0	0.675792822008953	0.6162791	0.001280411	17.55189	17.08612	-0.527160347649817
162	0	0.654329110519029	0.6802326	0.001462436	17.59524	17.22498	-0.989533505261313
163	0	0.729898281977512	0.6831395	0.001247709	17.6406	17.31115	-1.129090612969
164	0	0.73692330699414	0.755814	0.000950593	17.80167	17.52638	-1.32962718922695
165	0	0.713493006001227	0.6482558	0.001893098	17.72119	17.36668	-1.13665291504382
166	0	0.713265027641319	0.744186	0.001080928	17.68926	17.35448	-0.914327435051188
167	0	0.748647847236134	0.7703488	0.001089225	17.82972	17.53933	-1.62802733606259
168	0	0.65170092433691	0.6744186	0.002259003	17.27694	17.03643	-0.452368880966136
169	0	0.650729357870296	0.6366279	0.001584644	17.33697	17.13331	-0.575932193861469
16	0	0.704042599443346	0.7325581	0.001024289	17.83246	17.55729	-1.67165623432345
170	0	0.674155693221837	0.6598837	0.001610347	17.65207	17.19558	-0.549927030578303
171	0	0.728708281926811	0.7412791	0.001706218	17.6575	17.32063	-0.935179235054255
172	0	0.678371052537113	0.7093023	0.002093814	17.62797	17.21084	-0.889708999208546
173	0	0.650687048467807	0.7674419	0.001586877	17.67883	17.27862	-0.89319860516556
174	0	0.733602234907448	0.6831395	0.001907218	17.71236	17.50176	-1.21744880334728
175	0	0.719001873396337	0.7296512	0.001088071	17.83625	17.56166	-1.34029150621876
176	0	0.745679843565449	0.7936047	0.001152614	17.85365	17.54863	-1.36855657422014
177	0	0.690291894646361	0.5872093	0.001578989	17.55168	17.21999	-0.838426121484847
178	0	0.657293992047198	0.6366279	0.001204855	17.39156	17.12085	-0.800850091034633
179	0	0.651364848995581	0.6744186	0.001575822	17.12442	17.01311	-0.515201599963018
17	0	0.66942585229408	0.6482558	0.002347653	17.61113	17.30552	-1.00228073150568
180	0	0.689895216212608	0.7296512	0.0009636578	17.7323	17.3355	-0.914355360831708
181	0	0.650365269463509	0.6773256	0.001511589	17.77571	17.47692	-1.03639002410722
182	0	0.691002231859602	0.75	0.001813585	17.54786	17.16958	-0.665290332893491
183	0	0.68925924662035	0.752907	0.001894222	17.67263	17.31314	-1.025944525151
184	0	0.739159107720479	0.7325581	0.001258164	17.66067	17.29912	-1.47255773459334
185	0	0.668843172071502	0.6889535	0.001466628	17.21546	17.13781	-0.732486950593352
186	0	0.723248502868228	0.7703488	0.001338899	17.81819	17.41226	-1.09830883763982
187	0	0.716315963724628	0.7093023	0.001391396	17.28737	17.05966	-0.696919995676651
188	0	0.658026344818063	0.627907	0.001347384	17.24342	16.97215	-0.577510276724393
189	0	0.70217349010054	0.6918605	0.001146319	17.67713	17.38021	-1.24759444718019
18	0	0.679946912848391	0.6424419	0.001164508	17.72982	17.44195	-1.13608155107022
190	0	0.662302850140259	0.6627907	0.002269626	17.60391	17.23626	-0.5897999477471
191	0	0.684181949659251	0.7151163	0.001510542	17.66012	17.25092	-0.969476165623769
192	0	0.713176263915375	0.8081395	0.001169276	17.83888	17.48917	-1.00072631713876
193	0	0.675027750036679	0.6860465	0.001167636	17.61339	17.23543	-0.763687337415741
194	0	0.715042957128026	0.6947674	0.001129823	17.55695	17.16116	-0.699288409371098
195	0	0.727549654617906	0.6889535	0.001223398	17.53414	17.17308	-0.816488545007418
196	0	0.657066243863665	0.6482558	0.00168564	17.5338	17.1616	-0.991646729386532
197	0	0.722747631114908	0.7151163	0.001363579	17.66391	17.28762	-1.16244539295202
198	0	0.670001679169945	0.7005814	0.002568805	17.47325	17.08165	-0.562910910689931
199	0	0.67250792873092	0.6686047	0.001300245	17.62568	17.18273	-0.590894518688812
19	0	0.714600533316843	0.7877907	0.00104298	17.66626	17.30104	-1.04566663900775
1	0	0.670309869525954	0.6686047	0.00163479	17.41094	17.15711	-0.822709613180984
