seed	s	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score
1000	0	0.702022194303572	0.5269081	0.7122093	0.7095881	0.0005785677	0.0001242998	0.747093	17.7293	17.65122	0.5948346	18.64538	0.004273504	0	13.21512	0.3139535	-0.799234605475551
100	0	0.691867044731043	0.5637828	0.6831395	0.6783138	0.0005306658	0.0003750683	0.7151163	17.77117	17.64394	0.7480006	18.67503	0.008474576	0	13.70349	0.2674419	-0.946031213060276
101	0	0.721892858645879	0.1098802	0.6802326	0.7130101	0.0007350084	0.0001886188	0.7616279	17.88192	17.68671	0.7990172	18.79217	0.01310044	0	12.73837	0.3895349	-0.950852735606532
102	0	0.67089892050717	0.7284581	0.6947674	0.6778441	0.0006042494	0.0001588052	0.7209302	17.58359	17.42148	0.7680046	18.61601	0.009090909	0	14.11628	0.2034884	-0.594067837348889
103	0	0.706167921749875	0.6471821	0.7180233	0.7064368	0.0005518082	0.0001389242	0.752907	17.79201	17.72396	0.5605052	18.73552	0.01945525	0	12.63081	0.3662791	-0.887063621826943
104	0	0.656414288585074	0.4144818	0.6569767	0.6599738	0.0006877029	5.894939e-05	0.6976744	17.70183	17.58752	0.5647438	18.65037	0.004366812	0	14.3314	0.127907	-0.923824756980442
105	0	0.655840092804283	0.6796875	0.6656977	0.6502115	0.0006076413	0.0001088038	0.6889535	17.58628	17.51036	0.6712734	18.72614	0.01363636	0	14.09012	0.1627907	-0.655917262029128
106	0	0.683774359710515	0.3585388	0.6656977	0.6743195	0.0007640708	0.0004787987	0.7238372	17.62001	17.53627	0.7219615	18.63547	0.008064516	0	13.72674	0.2209302	-0.686477568513262
107	0	0.686270616529509	0.7038304	0.7034884	0.6911971	0.0004975453	0.0003746103	0.7238372	17.74299	17.66794	0.6038367	18.72832	0.004484305	0	13.7064	0.3081395	-0.986492507527779
108	0	0.718644348392263	0.8944798	0.744186	0.7038646	0.0007251375	0.0002110151	0.75	17.80363	17.68846	0.5977097	18.81264	0.008	0	13.37791	0.3255814	-0.772829054824039
109	0	0.655591322854161	0.1032084	0.6337209	0.6742718	0.0009053949	0.0002630475	0.7238372	17.59969	17.43962	0.7157386	18.60668	0.004273504	0	14.13663	0.2034884	-0.582764957714818
10	0	0.706903465650976	0.7797054	0.7267442	0.7013865	0.0008329626	0.0005072704	0.744186	17.78399	17.6757	0.7940148	18.80598	0.008097166	0	12.9564	0.3430233	-0.8526138891398
110	0	0.742721163551323	0.2026905	0.7151163	0.7353979	0.000481847	0.000159512	0.7732558	17.883	17.76771	0.7113576	18.88319	0.01908397	0	12.40407	0.494186	-0.949678021456098
111	0	0.743541890010238	0.1686145	0.7238372	0.7447101	0.0005466237	4.492269e-05	0.7790698	17.97241	17.82272	0.8095525	18.99518	0.03187251	0.003984064	11.71802	0.5290698	-1.09483669587749
112	0	0.677619712147862	0.8630437	0.7122093	0.6829324	0.0005679259	9.205965e-05	0.7180233	17.74663	17.58157	0.7003192	18.69188	0.01593625	0	14.02616	0.25	-0.87694291019375
113	0	0.682230376359075	0.7679316	0.6947674	0.6721259	0.0008173385	3.138266e-05	0.7122093	17.62091	17.49238	0.8079158	18.59052	0.009090909	0	13.8314	0.1802326	-0.723995829787034
114	0	0.657991594308987	0.9801011	0.7063953	0.6511776	0.0005927039	0.0001441154	0.6918605	17.6151	17.47151	0.6989775	18.58065	0.004524887	0	14.27907	0.1569767	-0.673831223470796
115	0	0.708239847561345	0.3670041	0.6976744	0.7087204	0.0007077586	9.882673e-05	0.752907	17.80507	17.66841	0.5861849	18.79226	0.004115226	0	13.25581	0.3313953	-0.861292755211941
116	0	0.689088683226146	0.5076577	0.7005814	0.7016702	0.0004374643	9.161114e-05	0.7325581	17.74995	17.63722	0.6607372	18.66956	0.0122449	0	13.75872	0.255814	-0.888361755078279
117	0	0.734698484372348	0.8146074	0.7645349	0.7400144	0.0005717793	0.0001986751	0.7761628	17.95993	17.78577	0.8231307	18.89055	0.0233463	0	12.25872	0.4709302	-1.09647254739959
118	0	0.738637058762833	0.143019	0.7180233	0.7485664	0.0006935409	0.000118504	0.7848837	17.96614	17.82925	0.6849524	18.90098	0.02390438	0.003984064	11.85174	0.505814	-1.12950269838516
119	0	0.669527427735738	0.6827052	0.6802326	0.6701159	0.0005986202	0.0001143367	0.7063953	17.74396	17.59317	0.6521195	18.60282	0.008583691	0	13.86919	0.1918605	-0.719944417144634
11	0	0.744875708664767	0.8419547	0.7616279	0.738616	0.0004916232	0.0005524384	0.7732558	17.92059	17.81513	0.6249261	18.87138	0.01574803	0	12.22384	0.505814	-1.28959488221388
120	0	0.73593968572095	0.7706081	0.7645349	0.7415202	0.0008762999	0.0001786013	0.7994186	17.89137	17.75174	0.7234189	18.78485	0.02621723	0	12.29651	0.4244186	-0.918019024213959
121	0	0.692179711605422	0.2967814	0.6773256	0.689987	0.0007310391	6.775698e-05	0.7412791	17.6749	17.57191	0.7975384	18.80555	0.01680672	0.004201681	13.62209	0.2325581	-0.716531443089116
122	0	0.68819084521383	0.430362	0.6889535	0.6933396	0.0005643882	9.903951e-05	0.7325581	17.61591	17.54026	0.6867299	18.68798	0.008196721	0	13.63372	0.2325581	-0.575987802706805
123	0	0.667122757644393	0.9820191	0.7267442	0.6682642	0.00068405	0.0004739939	0.7122093	17.70074	17.54105	0.6742128	18.65758	0.01369863	0.00456621	14.15988	0.1802326	-0.753517322308557
124	0	0.737421926204115	0.5137978	0.755814	0.7556059	0.0005798757	0.0004420365	0.7936047	18.00935	17.90127	0.5431487	18.98092	0.03546099	0.007092199	11.36919	0.627907	-1.37994223167952
125	0	0.668706019036472	0.2688525	0.6395349	0.6496202	0.0004274754	0.0001907513	0.6860465	17.66489	17.48839	0.763941	18.61944	0	0	14.32849	0.1453488	-0.648450560371854
126	0	0.702408402389847	0.3081135	0.6831395	0.6970626	0.0006201295	6.456682e-05	0.7383721	17.66943	17.57892	0.733161	18.70171	0.004098361	0	13.09012	0.3255814	-0.661218815413038
127	0	0.680100806686096	0.3998883	0.6947674	0.6989968	0.0008665063	0.0006065844	0.744186	17.73892	17.60889	0.6166836	18.66043	0	0	13.18605	0.3023256	-0.824563028146415
128	0	0.714460263890214	0.1010866	0.6715116	0.702653	0.0007805493	0.0001207031	0.752907	17.80998	17.70047	0.5914082	18.79023	0.008	0	13.02326	0.4069767	-0.830821466936439
129	0	0.661203398904763	0.1884698	0.6453488	0.6622575	0.0004678414	7.028309e-05	0.7005814	17.61598	17.50047	0.680607	18.57815	0.004587156	0	14.11337	0.1802326	-0.60357489853282
12	0	0.664491878263652	0.7234321	0.6831395	0.668155	0.0006214133	0.0002489283	0.7093023	17.62564	17.54709	0.6543097	18.64766	0.004273504	0	14.40698	0.1337209	-0.889970589599036
130	0	0.711770574655384	0.9804791	0.7645349	0.7046046	0.0008554005	0.0001682472	0.75	17.89851	17.75664	0.7154747	18.86203	0.03278689	0.01229508	12.7093	0.4186047	-1.26779588567942
131	0	0.665206923848018	0.4962075	0.6598837	0.6614008	0.0005737972	0.0002088813	0.7034884	17.6365	17.5487	0.6589252	18.67169	0	0	13.75872	0.1569767	-0.789934484988419
132	0	0.718134242715314	0.6408474	0.75	0.7408686	0.0005504955	0.0004207269	0.7790698	17.81789	17.72115	0.6563103	18.8747	0.01132075	0.003773585	12.54942	0.4651163	-0.755323712724411
133	0	0.737129268771969	0.940146	0.7616279	0.7194615	0.0006120779	0.0003935525	0.7616279	17.94999	17.75786	0.6054233	18.70938	0.008130081	0	12.63953	0.4302326	-1.01658191274339
134	0	0.671128050656989	0.3468227	0.6686047	0.6809062	0.0005869913	0.0003711343	0.7180233	17.72802	17.57051	0.5717756	18.62244	0.004405286	0	14.46221	0.2151163	-0.81826515146388
135	0	0.686240511038341	0.3093381	0.6656977	0.6799918	0.0007928443	0.000199676	0.7238372	17.62124	17.55649	0.7737218	18.87693	0.0212766	0	13.66279	0.2848837	-0.863537896553621
136	0	0.674124626931734	0.8734163	0.7093023	0.6759531	0.0006081231	0.0001778202	0.7151163	17.65939	17.54778	0.7784265	18.66617	0.004329004	0	13.89535	0.2093023	-0.843417077387337
137	0	0.672388548683375	0.04080504	0.625	0.6737552	0.0007468306	0.0002643864	0.7180233	17.60875	17.51128	0.6269674	18.5736	0.00862069	0.004310345	13.81395	0.2151163	-0.694248945437196
138	0	0.653020840743557	0.01955614	0.6046512	0.6565444	0.0007953605	0.0002909795	0.7063953	17.59992	17.473	0.7402403	18.63275	0	0	14.51453	0.1511628	-0.604142799043198
139	0	0.749333494668826	0.9223529	0.7936047	0.7612063	0.0004216594	0.0001245259	0.7965116	18.03509	17.89292	0.6040669	18.85045	0.01953125	0	11.57267	0.5813953	-1.28776840833782
13	0	0.668967597302981	0.6637235	0.6947674	0.6760282	0.000735859	0.0002602805	0.7151163	17.56439	17.44287	0.810558	18.70289	0	0	13.88081	0.1976744	-0.524457925919099
140	0	0.654687463748269	0.6560009	0.6598837	0.6505773	0.000596232	0.00017634	0.7005814	17.65457	17.50274	0.6780277	18.51911	0.004587156	0	14.4186	0.122093	-0.717955751750318
141	0	0.679462428158149	0.6824886	0.6947674	0.6793123	0.0005217943	0.0001744593	0.7122093	17.61476	17.56963	0.7269602	18.73876	0.004385965	0	14.02035	0.255814	-0.813564728649152
142	0	0.706683772383258	0.819482	0.7267442	0.7036973	0.0005525022	7.465369e-05	0.7412791	17.82221	17.67869	0.676904	18.7641	0.008196721	0	13.18895	0.3662791	-1.13510907852309
143	0	0.737959894328378	0.5334397	0.7383721	0.7331849	0.0004956327	5.152218e-05	0.7674419	17.9579	17.80043	0.7009749	18.92162	0.02390438	0	11.98547	0.5	-1.07990038281977
144	0	0.660273419413716	0.388919	0.6656977	0.6738586	0.0009567214	0.0003098906	0.7238372	17.69417	17.57007	0.6605965	18.65337	0.004464286	0	13.96512	0.1395349	-0.675897441057434
145	0	0.726366590685211	0.470183	0.7267442	0.7277947	0.0005351917	0.000390498	0.7645349	17.83478	17.67001	0.6941158	18.74543	0.004115226	0	12.98837	0.4069767	-1.15395031439069
146	0	0.733784276479855	0.90933	0.7819767	0.7405034	0.0008883283	0.000180249	0.7877907	17.80512	17.71031	0.70037	18.8188	0.02681992	0.003831418	12.18023	0.4476744	-1.05654241813499
147	0	0.687174377264455	0.640188	0.7063953	0.6969554	0.0005570783	0.000269977	0.7296512	17.72248	17.56494	0.8274457	18.8315	0.004366812	0	13.79942	0.2790698	-0.727627324065117
148	0	0.666051661618985	0.04131133	0.622093	0.6639651	0.0006502687	0.0002815539	0.7063953	17.69738	17.59272	0.5823472	18.67689	0.004219409	0	14.22965	0.1337209	-0.783946135569718
149	0	0.664316890691407	0.8298081	0.6860465	0.6646017	0.0005804662	0.0002226226	0.6976744	17.66839	17.59679	0.5822427	18.68359	0.008438819	0	13.82849	0.244186	-0.649983399542933
14	0	0.690670588542707	0.4040563	0.6773256	0.6791109	0.0006476741	7.758363e-05	0.7238372	17.74214	17.59237	0.7414901	18.7585	0	0	13.76744	0.244186	-0.679502320778172
150	0	0.735310753737576	0.6600343	0.75	0.7394481	0.0004997061	0.00016691	0.7703488	18.01766	17.83734	0.6530633	18.8602	0.01185771	0	11.86919	0.4767442	-1.11906941108074
151	0	0.744599510286935	0.6051945	0.7645349	0.7567792	0.000543295	8.708533e-05	0.7877907	18.00323	17.82071	0.6680069	18.82087	0.01886792	0	12.375	0.5523256	-1.50712144303782
152	0	0.701832756004296	0.5756611	0.6976744	0.6883103	0.0005579966	5.914506e-05	0.7354651	17.75404	17.68805	0.6489934	18.79976	0.008510638	0	13.49419	0.3197674	-0.795948134298418
153	0	0.713545561814681	0.06085377	0.6831395	0.7239251	0.0006521547	0.0001310264	0.7616279	17.8059	17.63868	0.6962456	18.64452	0.008298755	0	12.94186	0.3372093	-1.03716427332289
154	0	0.661717109871097	0.5984365	0.6773256	0.6696461	0.0004473931	6.252318e-05	0.7122093	17.67681	17.50775	0.8326054	18.66168	0.00877193	0	14.12791	0.1511628	-0.703981197894414
155	0	0.716791458730586	0.6084444	0.7180233	0.7106682	0.0005042087	0.0003256231	0.747093	17.87782	17.6624	0.7624993	18.81094	0.01945525	0.003891051	12.34884	0.4709302	-0.917098595775046
156	0	0.675804117158987	0.2504997	0.6686047	0.6799121	0.0004707354	0.0002527496	0.7151163	17.71279	17.61606	0.5678268	18.64156	0.004032258	0	13.70058	0.1802326	-0.697507892841051
157	0	0.685191209963523	0.1127845	0.6627907	0.6942479	0.0005903002	0.0001176947	0.7325581	17.65565	17.58568	0.6458397	18.77056	0.01310044	0	13.7064	0.2790698	-0.735782425073083
158	0	0.670300349825993	0.03820127	0.6395349	0.6752012	0.0005827691	0.0002770799	0.7180233	17.61365	17.47671	0.8338612	18.84956	0.01666667	0.008333333	13.74709	0.1802326	-0.715562727338017
159	0	0.680265079322271	0.04645048	0.6482558	0.6992256	0.0007731164	0.0002203196	0.7412791	17.63251	17.5493	0.7147291	18.71477	0.01260504	0.004201681	13.68605	0.2732558	-0.996719675480048
15	0	0.705944274389185	0.04837811	0.6656977	0.698556	0.0005141639	0.0002667914	0.7412791	17.90731	17.71269	0.6857963	18.80398	0.008298755	0	13.38953	0.2790698	-1.10976222059983
160	0	0.739940415532328	0.3105782	0.744186	0.7556142	0.0004663475	0.0002470172	0.7906977	17.90043	17.76541	0.7597951	18.88804	0.01593625	0	11.78779	0.5639535	-1.02774487948312
161	0	0.668974875705317	0.1616382	0.630814	0.6599664	0.0007269775	8.552094e-05	0.7063953	17.74331	17.55577	0.6844718	18.57491	0.004587156	0	14.21512	0.2209302	-0.806915805450702
162	0	0.732161080604419	0.5795545	0.7383721	0.7340492	0.0005884507	0.0001193817	0.7819767	17.9513	17.76612	0.8086751	18.8781	0.01976285	0	12.02035	0.4883721	-0.868603927212571
163	0	0.74147090415936	0.2349896	0.7122093	0.7302147	0.0005764022	0.0003527897	0.7674419	17.90714	17.75247	0.7821038	18.82282	0.01214575	0	12.56686	0.4186047	-1.15820337074197
