seed	s	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score
1000	0	0.652633459330536	0.4070951	0.6453488	0.6542552	0.0007799415	0.0001616716	0.6976744	17.41553	17.31381	0.719935	18.42171	0	0	15.15698	0.127907	-0.734693069177497
100	0	0.729507110128179	0.8141527	0.75	0.7237944	0.00060809	0.0004145648	0.7703488	17.65624	17.55856	0.6447463	18.59172	0.00390625	0	13.35174	0.4418605	-1.13456677233831
101	0	0.704422205337323	0.04626036	0.6569767	0.7055605	0.000719361	0.000170053	0.747093	17.52367	17.52184	0.5595467	18.51401	0.008130081	0	13.87209	0.3255814	-0.915867240276243
102	0	0.703709754766896	0.2308977	0.6802326	0.6913149	0.0005173921	6.838595e-05	0.7354651	17.44293	17.38517	0.7181674	18.56775	0.008547009	0	14.58721	0.2848837	-0.767129132408057
103	0	0.666907861619256	0.8448725	0.6831395	0.6608182	0.000625554	0.0001072763	0.6947674	17.49463	17.41059	0.5464158	18.43686	0	0	15.1657	0.1686047	-1.00736825709592
104	0	0.698751194868237	0.7715201	0.7093023	0.6811995	0.0007175135	7.200729e-05	0.7238372	17.63244	17.49669	0.6404071	18.57158	0.004149378	0	14.42151	0.3023256	-1.15730522001466
105	0	0.744092844380066	0.1438124	0.7180233	0.7391825	0.0004223822	0.0002155455	0.7703488	17.69238	17.62388	0.6010721	18.64203	0.01176471	0	13.52035	0.4767442	-1.06315543018675
106	0	0.66688349742908	0.6558387	0.6802326	0.6647643	0.0007349597	0.0001524921	0.7122093	17.50687	17.3935	0.6430401	18.43026	0	0	15.07849	0.1744186	-0.895743543692402
107	0	0.703632797952741	0.1234542	0.6627907	0.6898653	0.0005935999	0.0003094706	0.7267442	17.66523	17.58266	0.4807591	18.51021	0	0	13.65988	0.2732558	-0.922967190979441
108	0	0.655332203768194	0.5488281	0.6686047	0.6646507	0.0006299026	0.0004504536	0.7122093	17.42699	17.40646	0.5770799	18.43663	0.004291845	0	14.93314	0.122093	-0.723897857114566
109	0	0.721108653070405	0.646619	0.7296512	0.7212455	0.0004629086	7.220342e-05	0.752907	17.62083	17.52142	0.6261061	18.5673	0	0	13.79942	0.3313953	-0.887543876380052
10	0	0.68249441543594	0.8822345	0.7354651	0.7012565	0.0008416541	7.382248e-05	0.744186	17.77777	17.68702	0.5423877	18.78581	0.004237288	0	13.90698	0.3546512	-1.03875098630273
110	0	0.714451983943582	0.3477939	0.7005814	0.7107643	0.0006509585	4.318021e-05	0.752907	17.77042	17.69548	0.4291343	18.59065	0.01167315	0	13.30814	0.3895349	-1.06620979551481
111	0	0.722036367258988	0.04869346	0.6627907	0.7154828	0.001258785	0.0002376641	0.7819767	17.61056	17.48664	0.6915874	18.56733	0.008163265	0	13.82267	0.3488372	-1.07789680776005
112	0	0.749092475837097	0.7085932	0.7616279	0.7487415	0.0006318043	9.31185e-05	0.7994186	17.76187	17.60882	0.6664209	18.74723	0	0	12.74709	0.494186	-0.869796641130311
113	0	0.72161760777235	0.9397944	0.752907	0.7201743	0.0003915939	0.0002825696	0.752907	17.75807	17.58027	0.7044006	18.7295	0.01550388	0	13.74128	0.3546512	-1.08966646275553
