seed	s	length	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score_25	iDAT_score_125	iDAT_score_0625	iDAT_score_01
1000	0.05	249904549	0.734	0.9996263	0.80035	0.7622599	0.0002051432	1.594296e-05	0.79005	17.55543	17.45195	0.6451722	18.63448	0.003373524	0.0001249453	17.12295	0.5908	-1.315507	-1.306968	-1.265277	-1.23211054653736
100	0.05	249904549	0.734	0.9996987	0.8272	0.7641913	0.0002754019	0.0001498504	0.807	17.57569	17.49992	0.5977995	18.65266	0.003687137	0.0003022244	17.0121	0.6029	-1.35494	-1.353097	-1.301543	-1.26866046219066
101	0.05	249904549	0.734	0.9989198	0.82525	0.771699	0.0002067068	0.0003030723	0.79795	17.58536	17.48475	0.6022614	18.62976	0.003756437	0	16.819	0.6429	-1.286182	-1.321803	-1.259743	-1.2356736188553
102	0.05	249904549	0.734	0.9969764	0.8115	0.7682185	0.0001939425	6.767574e-05	0.78935	17.56292	17.46976	0.6081649	18.63808	0.005052372	6.161429e-05	16.8256	0.6223	-1.312723	-1.26701	-1.229971	-1.20325298679062
103	0.05	249904549	0.734	0.9958574	0.80775	0.7615192	0.0002254796	7.503099e-05	0.78795	17.55263	17.45945	0.5801797	18.60522	0.003404519	0.000185701	17.24445	0.5866	-1.233468	-1.233672	-1.198487	-1.17209999712892
104	0.05	249904549	0.734	0.9987147	0.81615	0.7615525	0.0002248577	6.300862e-05	0.793	17.5267	17.43769	0.6208816	18.61846	0.004472217	0.0003063162	17.13725	0.5859	-1.272722	-1.278877	-1.213577	-1.18886404212145
105	0.05	249904549	0.734	0.9982841	0.81725	0.7669138	0.0002543058	3.862312e-05	0.79515	17.59142	17.49767	0.5999886	18.64997	0.004833282	0.0002447232	17.00375	0.6163	-1.344581	-1.340852	-1.280179	-1.24735459313487
106	0.05	249904549	0.734	0.9991854	0.8231	0.7685264	0.0001664586	0.0001347404	0.78915	17.57116	17.4813	0.6165349	18.63909	0.005163407	6.074596e-05	16.92705	0.619	-1.258303	-1.252725	-1.204926	-1.18657552838467
107	0.05	249904549	0.734	0.9978505	0.82385	0.7794067	0.0002034688	0.0001828543	0.80315	17.57425	17.50052	0.5960308	18.67781	0.005704922	6.069066e-05	16.3143	0.6785	-1.411973	-1.408595	-1.346873	-1.31220205572824
108	0.05	249904549	0.734	0.9963825	0.82635	0.7767839	0.0002445483	0.0001289546	0.8019	17.58774	17.49119	0.6353842	18.66287	0.005566649	0.0001210141	16.6182	0.6668	-1.424458	-1.397656	-1.339385	-1.30779810981056
109	0.05	249904549	0.734	0.9212172	0.78175	0.7634457	0.0001764494	4.111385e-05	0.78425	17.52453	17.42034	0.6579812	18.63426	0.003837544	0	17.06235	0.5947	-1.193638	-1.194029	-1.169484	-1.14011084879392
10	0.05	249904549	0.734	0.9990011	0.79705	0.749745	0.0001791659	0.0001454831	0.77705	17.49078	17.38675	0.6316164	18.57214	0.002007402	0.000188194	17.88845	0.519	-1.17879	-1.145679	-1.121241	-1.10235318024101
110	0.05	249904549	0.734	0.9990263	0.80105	0.76071	0.000128633	9.000717e-05	0.78265	17.53272	17.43609	0.617222	18.62567	0.003120904	0.0001872542	17.2402	0.5783	-1.234536	-1.226029	-1.195372	-1.18381158369871
111	0.05	249904549	0.734	0.9993909	0.8078	0.7463892	0.0003496432	6.10939e-05	0.78815	17.51397	17.42169	0.5800508	18.5578	0.002599653	0	17.86615	0.5058	-1.29525	-1.252703	-1.209515	-1.17570057042291
112	0.05	249904549	0.734	0.9975866	0.82765	0.770298	0.0003532078	0.0001450911	0.8066	17.60661	17.51788	0.564316	18.65154	0.004832961	6.041201e-05	17.111	0.6372	-1.38911	-1.383665	-1.318324	-1.29511410910356
113	0.05	249904549	0.734	0.9995907	0.8231	0.7555252	0.0002868025	0.0002371581	0.78665	17.55063	17.44605	0.625548	18.60888	0.003098044	0	17.42605	0.5582	-1.296407	-1.287373	-1.250282	-1.22482266032199
114	0.05	249904549	0.734	0.9997958	0.81725	0.7625954	0.0002381397	0.0001943594	0.79315	17.57993	17.48515	0.6198366	18.64815	0.004037932	6.118079e-05	16.9314	0.593	-1.205137	-1.226303	-1.204011	-1.18178602135941
115	0.05	249904549	0.734	0.9998338	0.82505	0.7669944	0.0003313933	0.0002521415	0.79825	17.568	17.48632	0.6125676	18.66079	0.004908793	0.0001818072	17.08075	0.6182	-1.293048	-1.285507	-1.232121	-1.20270834408273
116	0.05	249904549	0.734	0.9994747	0.80415	0.7518305	0.0003938267	4.391221e-05	0.78665	17.55439	17.45583	0.6191896	18.62632	0.002300566	0	17.39885	0.5321	-1.251827	-1.236343	-1.206742	-1.17619512295781
117	0.05	249904549	0.734	0.9992511	0.8341	0.7547724	0.0004744323	5.696751e-05	0.8028	17.58842	17.49357	0.5627076	18.60682	0.002277904	0.0001798346	17.4224	0.5504	-1.33823	-1.307215	-1.252217	-1.22354593855131
118	0.05	249904549	0.734	0.9962821	0.78935	0.7564435	0.0001720467	2.119807e-05	0.77905	17.56899	17.45809	0.6335996	18.61613	0.00291379	0.0001266865	17.3965	0.5601	-1.263815	-1.248866	-1.186259	-1.16440767086788
119	0.05	249904549	0.734	0.9983387	0.818	0.7520336	0.0003883318	0.0002035263	0.7911	17.52973	17.44033	0.6149252	18.6131	0.004156479	0.0003056235	17.2119	0.5378	-1.259876	-1.208266	-1.168098	-1.1452226990866
11	0.05	249904549	0.734	0.9997281	0.82825	0.7593532	0.0002963018	0.0001328986	0.80005	17.54445	17.46329	0.588182	18.62947	0.00446725	6.036825e-05	17.1865	0.5718	-1.267179	-1.250295	-1.189736	-1.16334782926566
120	0.05	249904549	0.734	0.999277	0.7931	0.754065	0.0001546621	0.0001336312	0.77405	17.53965	17.42183	0.664144	18.62048	0.003089144	0.0001891313	17.40155	0.5481	-1.175415	-1.166526	-1.128779	-1.1082225747735
121	0.05	249904549	0.734	0.9996191	0.8317	0.7597501	0.0004489317	0.0001229541	0.8008	17.60754	17.50747	0.59971	18.64756	0.003727306	0.0001202357	17.09655	0.5689	-1.300945	-1.335361	-1.276436	-1.24818923978742
122	0.05	249904549	0.734	0.9919756	0.79315	0.7631936	0.0001476773	7.541743e-05	0.78535	17.54791	17.46336	0.604782	18.64119	0.003971506	6.303978e-05	17.0224	0.5907	-1.339398	-1.297904	-1.258022	-1.22691285505456
123	0.05	249904549	0.734	0.998311	0.8161	0.7704659	0.0001303595	0.0001218174	0.7865	17.55274	17.45067	0.6538386	18.65096	0.005759098	6.1267e-05	16.69555	0.6329	-1.266566	-1.25916	-1.211888	-1.19400682548253
124	0.05	249904549	0.734	0.9998747	0.8086	0.7618503	0.0002514631	6.317191e-05	0.78565	17.55813	17.44675	0.6734137	18.63387	0.003895622	0.0001236705	17.17195	0.5877	-1.230819	-1.242236	-1.20447	-1.18045226306677
125	0.05	249904549	0.734	0.9998753	0.80575	0.7474787	0.0002881525	2.972469e-05	0.7839	17.51311	17.40864	0.60817	18.55944	0.001923674	0	17.7942	0.5137	-1.264891	-1.239684	-1.191162	-1.15479638323488
126	0.05	249904549	0.734	0.9969878	0.81035	0.7523515	0.0003055191	0.0001660336	0.78275	17.52116	17.41959	0.6175218	18.57572	0.002776578	0	17.70465	0.5303	-1.331802	-1.271611	-1.227684	-1.19413145216217
127	0.05	249904549	0.734	0.9998184	0.83595	0.7806902	0.0002278197	0.000163961	0.808	17.60569	17.52899	0.6263835	18.70011	0.004964412	0.0001794366	16.38275	0.6894	-1.357774	-1.379759	-1.327338	-1.29601434121551
128	0.05	249904549	0.734	0.9961378	0.83525	0.7743334	0.0002829169	0.0002656227	0.8041925	17.62508	17.52219	0.6013193	18.65601	0.004609398	5.986232e-05	16.55425	0.6552	-1.40913	-1.411551	-1.349014	-1.31927560834674
129	0.05	249904549	0.734	0.9937661	0.80185	0.7611078	0.0002058613	7.694923e-05	0.7872	17.56146	17.46382	0.6026798	18.62496	0.004240195	0.000311779	17.15765	0.5889	-1.316165	-1.283613	-1.234082	-1.21042012448446
12	0.05	249904549	0.734	0.9972535	0.79705	0.7570834	0.0001603851	0.000158654	0.7772	17.5058	17.41164	0.619734	18.59401	0.003575685	6.273132e-05	17.5877	0.561	-1.224865	-1.189667	-1.160979	-1.12593717054761
130	0.05	249904549	0.734	0.9984385	0.8347	0.7675587	0.0004132783	6.800855e-05	0.81035	17.61134	17.50971	0.6021088	18.64763	0.005151551	0.0001198035	16.9971	0.6173	-1.381238	-1.391848	-1.340699	-1.30159516485866
131	0.05	249904549	0.734	0.9992793	0.79455	0.7584481	0.0001469854	5.351572e-05	0.77885	17.52625	17.41711	0.6614045	18.5921	0.003209364	0.0001258574	17.56065	0.5742	-1.212409	-1.211031	-1.162063	-1.13811074694045
132	0.05	249904549	0.734	0.9821124	0.80575	0.7639954	0.0002576369	0.0001990382	0.78805	17.58577	17.50065	0.5842553	18.6359	0.004281725	0	17.4462	0.5992	-1.41291	-1.394562	-1.325738	-1.29402613126273
133	0.05	249904549	0.734	0.9943068	0.82465	0.7637775	0.0002959678	0.0002696375	0.795	17.56001	17.47315	0.5857361	18.63388	0.004001698	0.0002425271	16.99525	0.6006	-1.42463	-1.386766	-1.355748	-1.31801318964959
134	0.05	249904549	0.734	0.9999318	0.79295	0.7495989	0.0001482159	2.115946e-05	0.7736675	17.50209	17.38771	0.6723817	18.55187	0.00233306	6.305568e-05	17.6755	0.5263	-1.245352	-1.21895	-1.178612	-1.15207452290381
135	0.05	249904549	0.734	0.9987383	0.8295	0.7684539	0.0002529044	0.0003394951	0.79345	17.59179	17.50815	0.5880715	18.65582	0.004581073	0.0002411091	16.69435	0.6215	-1.336589	-1.319467	-1.258017	-1.23140711661495
136	0.05	249904549	0.734	0.9963646	0.8002	0.7570173	0.0001894098	9.829886e-05	0.7807	17.51339	17.41971	0.612417	18.61778	0.004123969	0.0001874531	17.53005	0.5617	-1.251261	-1.225071	-1.208735	-1.17736256700571
137	0.05	249904549	0.734	0.9924726	0.8112	0.7652128	0.0002349914	5.035897e-05	0.79445	17.57163	17.47506	0.6256026	18.62865	0.004622781	0.0001849112	17.079	0.6065	-1.35977	-1.345447	-1.284855	-1.2518365850093
138	0.05	249904549	0.734	0.9979941	0.8019	0.7580158	0.0002115906	0.0001229242	0.78395	17.53771	17.44563	0.6089521	18.60403	0.003491707	6.235191e-05	17.3938	0.5691	-1.258675	-1.273409	-1.229437	-1.1972182935604
139	0.05	249904549	0.734	0.9925754	0.8071	0.7636808	0.0002571498	3.504666e-05	0.7942	17.56852	17.47668	0.6084179	18.64747	0.004398464	0	17.1315	0.5994	-1.315513	-1.288045	-1.25257	-1.22557942121325
13	0.05	249904549	0.734	0.9989137	0.814	0.7645047	0.0001944887	5.971134e-05	0.7915	17.54094	17.44207	0.6269746	18.62119	0.003501229	0.0001228501	17.3003	0.607	-1.198256	-1.195766	-1.172302	-1.14591348252534
140	0.05	249904549	0.734	0.9974228	0.799	0.7561021	0.0001533111	5.110477e-05	0.7807	17.5354	17.43265	0.6201358	18.60318	0.003379224	0	17.31195	0.5598	-1.265559	-1.259584	-1.220737	-1.19364884557688
141	0.05	249904549	0.734	0.9960374	0.792	0.7587944	0.0001652986	6.39217e-05	0.77795	17.51907	17.41321	0.6404011	18.58618	0.00239899	0	17.4416	0.5704	-1.226089	-1.215995	-1.170566	-1.14262318961388
142	0.05	249904549	0.734	0.9938301	0.8102	0.7633571	0.0003134273	1.785424e-05	0.7967	17.58189	17.48347	0.6053502	18.64693	0.003579363	0	17.0896	0.5966	-1.416726	-1.395513	-1.32193	-1.28591197527436
143	0.05	249904549	0.734	0.9999012	0.8502	0.783932	0.0002920739	0.0001321846	0.8245	17.64572	17.55402	0.5791128	18.69371	0.005586921	0.0004116678	16.04865	0.7017	-1.542481	-1.511759	-1.465286	-1.41210205229658
144	0.05	249904549	0.734	0.989626	0.80665	0.7648501	0.0002330669	4.886246e-05	0.7928	17.55925	17.47245	0.5930479	18.6371	0.003595116	0.0001859543	17.1003	0.5999	-1.362569	-1.341739	-1.304584	-1.26668873911124
145	0.05	249904549	0.734	0.9991105	0.81075	0.7642557	0.000266359	9.155991e-05	0.79185	17.55744	17.4723	0.5772706	18.62067	0.003576935	0.0001233426	17.20675	0.6008	-1.249577	-1.289748	-1.255095	-1.22588069735514
146	0.05	249904549	0.734	0.9969329	0.8129	0.7552106	0.0002298491	0.0001796181	0.7829	17.55039	17.45122	0.6054708	18.58992	0.003936524	0.0001230164	17.2555	0.5538	-1.274449	-1.241572	-1.211476	-1.18001089574716
147	0.05	249904549	0.734	0.9995311	0.8193	0.7518862	0.000315788	0.0002247888	0.78735	17.5699	17.45578	0.634119	18.62454	0.00292933	0	17.44885	0.5314	-1.231313	-1.22654	-1.184293	-1.167251670617
148	0.05	249904549	0.734	0.9973213	0.79865	0.7592757	0.0002583494	0.0001387759	0.78365	17.53885	17.44179	0.6462404	18.63798	0.00388155	0.0001252113	17.2306	0.5701	-1.297687	-1.281018	-1.240461	-1.2102147402427
149	0.05	249904549	0.734	0.9993609	0.81645	0.7614817	0.0002387815	5.214223e-05	0.79555	17.57799	17.49681	0.5794505	18.6477	0.003980648	0.0001224815	17.12815	0.5874	-1.376209	-1.361188	-1.300776	-1.2702029757516
