seed	s	gen	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score_25	iDAT_score_125	iDAT_score_0625	iDAT_score_01
1000	0.01	100	0.9	0.9989366	0.95965	0.9041009	0.0004995629	0.000287809	0.9362	16.64675	16.65151	1.06474	18.06748	0	0	47.65295	1	-2.203978	-2.332196	-2.31828	-2.45726657983994
100	0.01	100	0.9	0.9996978	0.96095	0.9075159	0.0005838554	0.000192835	0.93825	16.65892	16.70818	1.046994	18.11357	0	0	48.16975	1	-2.334969	-2.376138	-2.410538	-2.56818058149741
101	0.01	100	0.9	0.5666072	0.901	0.8970208	0.000499618	0.0001370315	0.92935	16.47401	16.52768	1.013038	18.01248	0	0	49.84435	1	-2.081286	-2.169074	-2.206144	-2.33750969454277
102	0.01	100	0.9	0.9226353	0.9355	0.9040342	0.0004339141	0.0001678344	0.9386	16.56508	16.59571	1.154701	18.06036	0	0	44.8031	1	-2.11564	-2.247582	-2.296971	-2.46296958396982
103	0.01	100	0.9	0.519174	0.90605	0.8969513	0.0004585806	0.0002268151	0.93495	16.28097	16.26781	1.200578	17.92511	0	0	47.6759	1	-1.975957	-2.050363	-2.116733	-2.23477163802084
104	0.01	100	0.9	0.9978704	0.95045	0.9007902	0.0003770966	0.0003156333	0.93155	16.52435	16.56887	1.098209	18.07278	0	0	47.38635	1	-2.178996	-2.301857	-2.327161	-2.46068927376926
105	0.01	100	0.9	0.617018	0.91535	0.9074899	0.000388875	0.0002115038	0.93965	16.53396	16.54656	1.166006	18.06579	0	0	43.9651	1	-2.093509	-2.247031	-2.294037	-2.43945900909271
106	0.01	100	0.9	0.9740455	0.93075	0.892746	0.0004602257	0.0002950446	0.92585	16.54182	16.55976	1.009807	17.99408	0	0	50.12435	0.9999	-2.280848	-2.417493	-2.453768	-2.58511757740679
107	0.01	100	0.9	0.9900074	0.94615	0.8977331	0.0004642469	0.0001041164	0.93625	16.75112	16.76509	0.9323177	18.1148	0	0	47.14305	1	-2.468558	-2.579771	-2.566723	-2.71957983897167
108	0.01	100	0.9	0.6668111	0.90825	0.8926117	0.0004487749	0.0003446834	0.9301	16.40484	16.39309	1.099451	17.92488	0	0	49.10245	0.9999	-1.943874	-1.985976	-2.019985	-2.10068042947052
109	0.01	100	0.9	0.4795425	0.90305	0.90598	0.0004429328	0.0002465704	0.93455	16.61924	16.60051	1.225771	18.0438	0	0	46.8403	1	-2.099071	-2.213254	-2.248938	-2.4186432463277
10	0.01	100	0.9	0.9951458	0.95095	0.9076083	0.0003522764	0.0004126162	0.93755	16.57917	16.59411	1.117075	18.06395	0	0	44.9379	1	-2.24195	-2.272584	-2.321297	-2.49825492287965
110	0.01	100	0.9	0.99672	0.95145	0.904281	0.0003912419	0.0003769085	0.9362	16.64919	16.71139	0.9710963	18.05731	0	0	46.8486	1	-2.349118	-2.484483	-2.509461	-2.67377900904277
111	0.01	100	0.9	0.4194609	0.89925	0.9023774	0.0004266087	0.000270795	0.93605	16.5547	16.5643	1.137671	18.01809	0	0	47.3611	1	-2.314478	-2.421299	-2.42853	-2.57533361250832
112	0.01	100	0.9	0.8876186	0.92825	0.9029491	0.0003911495	0.0007613552	0.93515	16.59403	16.62006	1.061588	18.05994	0	0	45.82615	1	-2.352729	-2.422745	-2.465552	-2.59727599469755
113	0.01	100	0.9	0.8009768	0.91765	0.8996943	0.0004429918	0.000235521	0.9349	16.4223	16.48154	1.010921	18.00656	0	0	48.42855	1	-2.174857	-2.198151	-2.214997	-2.35961779879772
114	0.01	100	0.9	0.269219	0.8964	0.9065865	0.0003268342	0.0003124077	0.9325	16.5202	16.55166	1.156488	18.07213	0	0	46.4951	1	-2.103203	-2.220467	-2.271558	-2.44688058993827
115	0.01	100	0.9	0.973915	0.9423	0.8990577	0.0004824074	0.000462062	0.93795	16.57552	16.59729	0.998871	17.97762	0	0	47.5068	0.9999	-2.093531	-2.252662	-2.249985	-2.35931492713216
