seed	s	gen	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score_25	iDAT_score_125	iDAT_score_0625	iDAT_score_01
1000	0	10	0.5	0.8436198	0.5137	0.5057686	5.628615e-05	7.863871e-06	0.5168	17.98557	17.72877	0.9500738	18.8458	0.01129064	0.0007786646	9.60125	0.0325	-0.03548938	-0.01280376	-0.01168949	-0.0159831738828262
100	0	10	0.5	0.4890985	0.50425	0.5025403	6.062207e-05	1.70564e-05	0.51645	17.93213	17.67495	0.997322	18.83861	0.01080813	0.0004957858	9.65975	0.0295	0.03391537	0.01379234	0.01631846	0.0158157110895343
101	0	10	0.5	0.2706428	0.50915	0.5131139	4.089964e-05	2.580291e-05	0.52125	17.97343	17.7195	0.9480968	18.85503	0.01404301	0.0003928115	9.79955	0.0352	-0.05510575	-0.04742732	-0.0465399	-0.0443677974031841
102	0	10	0.5	0.2878789	0.4985	0.5073243	0.0001106335	3.899961e-05	0.522	17.973	17.71565	0.9406436	18.86022	0.01243731	0.0004012036	9.75135	0.0275	-0.04958781	-0.03126401	-0.03391054	-0.0329920353813549
103	0	10	0.5	0.5363493	0.50325	0.5020316	4.815201e-05	6.385038e-06	0.5154	17.94043	17.70742	0.9333221	18.84748	0.01251863	0.001092896	9.73075	0.0288	0.02074882	0.01036307	0.01264161	0.0130931780700972
104	0	10	0.5	0.552586	0.49635	0.4969514	6.305568e-05	1.103553e-05	0.51615	17.96402	17.69737	0.9757902	18.84159	0.01279339	0.0008058829	9.63915	0.0278	0.05149438	0.03058128	0.03138659	0.0323245307477033
105	0	10	0.5	0.5842335	0.50755	0.5061376	9.526283e-05	1.600934e-05	0.5222	17.95672	17.71957	0.960246	18.87621	0.01556497	0.0004925623	9.715	0.0331	-0.01913715	-0.01054843	-0.01449878	-0.0160485592979684
106	0	10	0.5	0.7590759	0.4979	0.4928486	5.474855e-05	1.368585e-05	0.5041	17.97845	17.70099	1.010256	18.83357	0.01295441	0.0004016871	9.6793	0.0246	0.06801885	0.03481444	0.03073126	0.0318946744372734
107	0	10	0.5	0.6867573	0.5003	0.4985313	3.0627e-05	2.164896e-05	0.5072	17.96994	17.72723	0.9370622	18.86493	0.01539077	0.0008994603	9.71485	0.0292	-0.04500992	-0.02518753	-0.02700998	-0.0255204898340915
108	0	10	0.5	0.8449473	0.50995	0.5029333	4.333472e-05	3.629244e-06	0.5141	17.96668	17.72394	0.9297643	18.85051	0.01147171	0.0002941465	9.75625	0.0266	-0.0581133	-0.03995098	-0.03537922	-0.0331010705085581
109	0	10	0.5	0.7889825	0.5029	0.495507	0.0001225517	1.208936e-05	0.5115	17.96059	17.69189	0.9892649	18.85702	0.01292503	0.001292503	9.6606	0.0282	0.02390883	0.02285306	0.02072848	0.017916355048212
10	0	10	0.5	0.6115408	0.50215	0.5005545	5.520429e-05	3.419149e-06	0.51335	17.96473	17.73695	0.9221347	18.86303	0.01453749	0.0007965747	9.64875	0.0296	-0.03781333	-0.01944158	-0.01761709	-0.0144603437198793
110	0	10	0.5	0.8476516	0.50655	0.496516	8.72767e-05	6.189482e-06	0.51255	17.94426	17.70452	0.9370119	18.84085	0.01164742	0.0008883625	9.7482	0.0255	-0.002961153	0.01429194	0.01668366	0.0181238227527471
111	0	10	0.5	0.6303441	0.51095	0.5094361	5.038574e-05	1.131765e-05	0.52025	17.98122	17.73477	0.9594495	18.87457	0.01653782	0.001076426	9.7148	0.0347	-0.1059808	-0.05422549	-0.0543518	-0.0534355884772692
112	0	10	0.5	0.10043	0.4895	0.5023466	0.0001292383	6.580577e-06	0.5233	17.96708	17.70803	0.9584488	18.86246	0.01195097	0.0009193054	9.7074	0.0304	-0.007082562	-0.0009840853	-0.001464723	-0.00238662848138288
113	0	10	0.5	0.4879446	0.49895	0.500404	7.326874e-05	9.799065e-06	0.51665	17.96572	17.7018	0.9800276	18.86419	0.01362862	0.0005010522	9.73515	0.0289	-0.001459561	-0.001405844	-0.006346293	-0.00703343745955627
114	0	10	0.5	0.5065224	0.5047	0.505736	6.629939e-05	3.568212e-06	0.5182	17.96838	17.71384	0.9593439	18.8628	0.0142659	0.001188825	9.71465	0.0315	-0.04212314	-0.02542207	-0.03092548	-0.0258270923227626
115	0	10	0.5	0.4508279	0.4923	0.4947005	0.0001075214	1.475528e-05	0.50995	17.96701	17.72571	0.8882833	18.83583	0.01005484	0.0002031282	9.758	0.0268	0.007692053	0.001771304	-0.0003075206	0.000309493923102017
116	0	10	0.5	0.9897221	0.50945	0.4936394	8.636863e-05	3.832295e-05	0.5047	17.92593	17.6747	0.9616472	18.83063	0.01187555	0.0002944352	9.59495	0.0257	0.1058984	0.06820472	0.06719671	0.0655866396384562
117	0	10	0.5	0.3386273	0.5051	0.5100823	5.528456e-05	1.241577e-05	0.51935	17.99732	17.75225	0.92828	18.85316	0.01445258	0.001088893	9.75775	0.0355	-0.1205282	-0.08053714	-0.08121507	-0.0827783833523529
118	0	10	0.5	0.9965755	0.50515	0.4934724	2.922156e-05	7.582208e-06	0.50225	17.94761	17.68651	0.9813415	18.85017	0.01326339	0.001088786	9.68095	0.0261	0.1286458	0.07275867	0.07777675	0.0733393575254168
119	0	10	0.5	0.55753	0.50125	0.4978623	6.479196e-05	8.46368e-06	0.5119	17.96955	17.72401	0.9182952	18.85158	0.01117207	0.0009975062	9.6594	0.0262	0.0927646	0.04478071	0.04064506	0.0350190565181782
11	0	10	0.5	0.03368935	0.47935	0.4876301	2.23902e-05	8.957008e-06	0.49525	17.95367	17.70276	0.9649059	18.85114	0.01335141	0.001147387	9.6822	0.0212	0.05841044	0.02165826	0.02796491	0.0268668455045928
120	0	10	0.5	0.8456274	0.49725	0.4881822	8.011542e-05	1.151949e-05	0.50255	17.94992	17.68777	0.9426696	18.83544	0.01206637	0.0008044243	9.69925	0.0224	0.1741443	0.0929046	0.09203484	0.0882163941063606
121	0	10	0.5	0.5519441	0.50845	0.50793	4.693712e-05	1.380131e-05	0.5194	17.97918	17.74029	0.936865	18.87877	0.01573409	0.0006883666	9.58145	0.0348	-0.01528272	-0.01358843	-0.01914612	-0.0223607667520631
122	0	10	0.5	0.5960405	0.504	0.502865	7.591426e-05	2.364572e-05	0.5157	17.98314	17.72909	0.9417882	18.86003	0.01180556	0.0009920635	9.7325	0.0291	-0.06016607	-0.0320979	-0.03712175	-0.0353731158986099
123	0	10	0.5	0.8198676	0.49915	0.4935574	3.599945e-05	2.959322e-05	0.50255	17.95182	17.68445	0.9697588	18.82817	0.01101873	0.001001703	9.77425	0.0223	0.06894119	0.03937378	0.04746904	0.0436929366816869
124	0	10	0.5	0.5791849	0.5086	0.5053086	6.413584e-05	2.404036e-06	0.5171	17.96853	17.71584	0.9158028	18.8506	0.01307511	0.0004915454	9.73735	0.0331	-0.04323564	-0.04599258	-0.04511244	-0.0403492763640022
125	0	10	0.5	0.4057953	0.50515	0.5059214	7.387289e-05	2.657789e-05	0.5198	17.96167	17.72207	0.9186285	18.87872	0.01563892	0.001187766	9.6941	0.0319	-0.08248523	-0.05020456	-0.04969578	-0.0451189103093699
126	0	10	0.5	0.1590844	0.50515	0.5115712	3.675713e-05	5.096495e-06	0.52175	17.97379	17.73019	0.9376342	18.87009	0.01593586	0.000989805	9.7591	0.0328	-0.03534013	-0.0344563	-0.04189488	-0.0403465730777886
127	0	10	0.5	0.7884284	0.51335	0.508435	8.593449e-05	5.072801e-06	0.52105	18.00653	17.75041	0.9150261	18.8672	0.01363592	0.001071394	9.75805	0.0352	-0.1151078	-0.08200938	-0.08563193	-0.0835447571293643
128	0	10	0.5	0.6792188	0.4906	0.4855129	4.022429e-05	5.545686e-06	0.49785	17.88671	17.63898	0.9836062	18.82937	0.01059927	0.0006114961	9.7434	0.0226	0.2687237	0.1409986	0.1423484	0.13560130853648
129	0	10	0.5	0.2167418	0.49555	0.5031635	0.0001113726	7.99742e-06	0.52035	17.97429	17.74005	0.9076895	18.86406	0.014832	0.00050449	9.66815	0.0281	0.04379221	0.01577253	0.01545599	0.0127737669649807
12	0	10	0.5	0.9613803	0.5098	0.4983355	5.1986e-05	2.039098e-05	0.5093	17.96067	17.70993	0.9441711	18.83183	0.01206355	0.0005884661	9.7279	0.0261	-0.01682346	-0.001085714	0.008052736	0.00652500739300447
130	0	10	0.5	0.7193273	0.49765	0.49448	4.134779e-05	2.11774e-05	0.50225	17.96543	17.72665	0.9517154	18.87493	0.01286044	0.001004722	9.66025	0.0262	-0.004535702	-0.00359869	-0.002160517	-0.00215768429541487
131	0	10	0.5	0.9845776	0.5158	0.5006595	6.329772e-05	8.699414e-06	0.5132	17.98096	17.72839	0.9698996	18.85438	0.01231097	0.0008724312	9.6602	0.0302	-0.0731175	-0.03149114	-0.03331348	-0.0268806273433841
132	0	10	0.5	0.9445816	0.51145	0.4988274	8.513021e-05	4.160802e-05	0.5117	17.97709	17.72269	0.9594959	18.85618	0.0126112	0.0006843289	9.58455	0.0277	0.03637355	0.01163254	0.007226437	0.00565047663348142
133	0	10	0.5	0.8189076	0.5228	0.5182127	4.018221e-05	8.055862e-06	0.53035	18.00217	17.75799	0.9527004	18.8879	0.01855394	0.001434583	9.71285	0.0378	-0.1091756	-0.06529278	-0.07227896	-0.073160454179424
134	0	10	0.5	0.3521077	0.48275	0.4880197	0.0001065883	1.83753e-05	0.5106	17.93426	17.67106	0.9941702	18.83784	0.01108234	0.0006214397	9.7626	0.0228	0.05375625	0.04224515	0.03944622	0.0361028968970414
135	0	10	0.5	0.2148244	0.49755	0.503517	5.676686e-05	6.92245e-06	0.5196	17.9615	17.70664	0.9872078	18.85014	0.01135564	0.0009044317	9.75535	0.0296	-0.02469546	-0.01418131	-0.01467249	-0.0150018415504857
136	0	10	0.5	0.7477104	0.5022	0.4985629	4.329661e-05	7.302351e-06	0.5095	17.94525	17.70829	0.9228854	18.8628	0.01433692	0.0006969335	9.80675	0.0293	0.0187391	0.01663583	0.02387165	0.0230413388923083
137	0	10	0.5	0.1673774	0.50125	0.5105924	7.858125e-05	5.421318e-06	0.5273	17.96683	17.73397	0.9237453	18.87157	0.0159601	0.0009975062	9.6909	0.0332	-0.05448708	-0.03051985	-0.03024662	-0.02767223489039
138	0	10	0.5	0.2823175	0.48815	0.4929532	7.723187e-05	1.435698e-05	0.50785	17.9475	17.69687	0.9558016	18.83762	0.01095975	0.0003072826	9.6601	0.0251	0.149405	0.0805191	0.08357633	0.0794417850032488
139	0	10	0.5	0.7217612	0.5029	0.4951315	0.0001166147	1.334064e-05	0.51375	17.91643	17.67592	0.9441414	18.84078	0.01222907	0.0008948101	9.71395	0.0258	0.1123235	0.06299683	0.06425085	0.0609403986929786
13	0	10	0.5	0.082907	0.4858	0.4967785	6.493524e-05	2.747495e-05	0.5095	17.94936	17.68175	1.000055	18.84683	0.01461507	0.00102923	9.7056	0.0269	0.0510352	0.02317906	0.01812651	0.0194591520576067
