seed	s	m	mean_global	mean_chr1	mean_restgenome
100	0.167470398545265	0.65	0.7275107	0.7423727	0.712238987830176
101	0.137543464591727	0.65	0.7213893	0.7296627	0.712887692355457
102	0.143371784407645	0.65	0.7210949	0.7285691	0.713414674525565
103	0.0514048648998141	0.65	0.69412	0.6967819	0.691384830313949
104	0.0877909807953984	0.65	0.6915126	0.700152	0.682635081621674
105	0.167048042314127	0.65	0.7335393	0.7461171	0.720614598852884
106	0.155997578566894	0.65	0.7298343	0.7426693	0.716645391195001
107	0.0218867233023047	0.65	0.6601013	0.6647916	0.655281715535051
108	0.0151648965198547	0.65	0.6641806	0.6650679	0.663268831378516
109	0.174798295181245	0.65	0.7427601	0.7566097	0.728528576461544
10	0.167220186349005	0.65	0.7213919	0.736698	0.705663651088906
110	0.0462945388630033	0.65	0.6745966	0.6804243	0.668608182976514
111	0.192353434488177	0.65	0.7355578	0.7531283	0.717502919041152
112	0.183040001848713	0.65	0.7318909	0.7494465	0.713851251786263
113	0.176424484234303	0.65	0.7276002	0.7388784	0.716011071063054
114	0.0630816872697324	0.65	0.6941468	0.7021116	0.685962483223503
115	0.0538902163505554	0.65	0.6705032	0.680271	0.660466137358062
116	0.10740519836545	0.65	0.7069543	0.7167093	0.696930465030195
117	0.101565989432856	0.65	0.7058258	0.7156404	0.695740739726564
118	0.198533892724663	0.65	0.7438772	0.7557287	0.731698872153221
119	0.021420867415145	0.65	0.6647157	0.6665532	0.662827510751637
11	0.175671056983992	0.65	0.7432756	0.7509778	0.735360997720991
120	0.168002838036045	0.65	0.7317873	0.745259	0.717944120194302
121	0.0121934988070279	0.65	0.652566	0.6527309	0.652396583634124
122	0.0662518504075706	0.65	0.6901127	0.695433	0.684645651409472
123	0.0489620481617749	0.65	0.6724016	0.6815108	0.663041264035444
124	0.0947329439222813	0.65	0.6986047	0.7109973	0.685870376725948
125	0.00844526789151132	0.65	0.6493025	0.6513088	0.647240946109408
126	0.192993205599487	0.65	0.7400978	0.7506488	0.729255818872212
127	0.00593160591088235	0.65	0.6536594	0.6538125	0.653502150331858
128	0.0817939830478281	0.65	0.700529	0.7126443	0.688079621860037
129	0.182883423566818	0.65	0.7229623	0.7378777	0.707635586925498
12	0.199820471182466	0.65	0.7443349	0.7599086	0.728331767033583
130	0.0326273405458778	0.65	0.6702677	0.6776775	0.662653581643785
131	0.0231850584037602	0.65	0.6691625	0.6739036	0.664290743348287
132	0.188652418972924	0.65	0.7387027	0.7565217	0.720392484523764
133	0.0478864538948983	0.65	0.6829669	0.6870623	0.678758551908885
134	0.042670665634796	0.65	0.6870656	0.6883451	0.685750829315503
135	0.0616783646866679	0.65	0.682469	0.6919825	0.672693182941474
136	0.123416312318295	0.65	0.7146899	0.7252673	0.703820917870434
137	0.0505528637673706	0.65	0.6823424	0.6902921	0.674173491397377
138	0.0303653058130294	0.65	0.6815582	0.684135	0.67891038967159
139	0.124054742092267	0.65	0.7045156	0.7200414	0.688561795192712
13	0.108587505016476	0.65	0.7128599	0.7213556	0.70413003364605
140	0.133273847401142	0.65	0.7230159	0.7358715	0.7098059802181
141	0.13541476232931	0.65	0.7171942	0.7299501	0.704086581425416
142	0.0654710435308516	0.65	0.6950033	0.7007161	0.689132868844101
143	0.0828766369260848	0.65	0.703519	0.7137376	0.693018665828509
144	0.121394615480676	0.65	0.6985809	0.7123195	0.684463441185793
145	0.0902537285815924	0.65	0.7024188	0.7120708	0.69250078412239
146	0.129547309316695	0.65	0.7085158	0.7247684	0.691815119876966
147	0.0753472061827779	0.65	0.6881558	0.6978916	0.678151598596585
148	0.121289484854788	0.65	0.7080002	0.7196859	0.695992277001346
149	0.169880885723978	0.65	0.7304874	0.7458824	0.714667933562777
14	0.0585188621655107	0.65	0.6805334	0.6907965	0.669987446675084
150	0.137994070304558	0.65	0.7227467	0.7361048	0.709020298683539
151	0.0336222741287202	0.65	0.6553003	0.6587993	0.6517047641755
152	0.0133585753384978	0.65	0.6476822	0.6480437	0.647310773518315
153	0.0941225513350219	0.65	0.6952341	0.7087656	0.681329492743463
154	0.157576666539535	0.65	0.726023	0.7401893	0.7114661113552
155	0.158776265149936	0.65	0.7266913	0.7402548	0.712753975540801
156	0.117217745445669	0.65	0.7186126	0.7276125	0.709364450851969
157	0.0747153926640749	0.65	0.6893085	0.6945032	0.683970488059663
158	0.140754505293444	0.65	0.7106467	0.7224123	0.698556694698389
159	0.0249709540046752	0.65	0.6604	0.6665021	0.654129786248628
15	0.0236433244310319	0.65	0.6605844	0.663327	0.657766149004301
160	0.153778803301975	0.65	0.7222521	0.7346296	0.709533293909442
161	0.0581627186853439	0.65	0.6742379	0.6754722	0.672969666109796
162	0.0928792048245669	0.65	0.6926459	0.7000928	0.684993759987704
163	0.0745697058737278	0.65	0.6894936	0.6971381	0.681638427891181
164	0.162439983710647	0.65	0.7249749	0.7361251	0.713517295876579
165	0.122521725157276	0.65	0.7216661	0.7368906	0.706021843671735
166	0.00719205555506051	0.65	0.65772	0.6583559	0.657066538960048
167	0.00176835390739143	0.65	0.6477486	0.6488645	0.646601959654416
168	0.122269631270319	0.65	0.7124354	0.7258846	0.698615300072363
169	0.135700327483937	0.65	0.706574	0.7199081	0.692872326053287
16	0.0644255031365901	0.65	0.6887934	0.6934407	0.684018003744795
170	0.0896013730671257	0.65	0.698337	0.7067088	0.689734275606423
171	0.036884195683524	0.65	0.666471	0.6724855	0.660290617006163
172	0.172327549010515	0.65	0.7300959	0.7493393	0.710321994055566
173	0.0526930226013064	0.65	0.6708127	0.6793291	0.662061585430241
174	0.145677255140617	0.65	0.7204518	0.7331708	0.707382223702051
175	0.132993316510692	0.65	0.7127973	0.7253433	0.699905474560588
176	0.127649720013142	0.65	0.7250817	0.7366135	0.713232079041056
177	0.0815647094044834	0.65	0.6942619	0.6961647	0.692306562856436
178	0.148433838505298	0.65	0.7171442	0.7298941	0.704042730013119
179	0.0691636295523494	0.65	0.6957985	0.7003841	0.691086565999414
17	0.0475699964910746	0.65	0.6862984	0.6936653	0.678728249897519
180	0.0667605164460838	0.65	0.6677976	0.6706172	0.664900233190286
181	0.0850215984042734	0.65	0.697815	0.7031567	0.692325973552911
182	0.112707638507709	0.65	0.7068081	0.7144895	0.698915005668162
