seed	s	m	mean_global	mean_chr1	mean_restgenome
100	0.177693026978523	0.65	0.7247362	0.7512395	0.722221189837099
101	0.120610802294686	0.65	0.6905483	0.713763	0.688345456265244
102	0.126458769384772	0.65	0.6923291	0.7191485	0.689784096738252
103	0.0925523628946394	0.65	0.6961086	0.7117985	0.694619799067432
104	0.0137785602360964	0.65	0.6497913	0.6497892	0.649791486686954
105	0.191512023797259	0.65	0.73271	0.7622485	0.729907049269957
106	0.12079372103326	0.65	0.7014339	0.7196179	0.699708394564652
107	0.113666712446138	0.65	0.6983975	0.7195099	0.696394072076557
108	0.0762688172981143	0.65	0.6864829	0.6992852	0.685268011114527
109	0.0692109852097929	0.65	0.6812444	0.6953599	0.679904917091835
10	0.15293713840656	0.65	0.7162948	0.7401535	0.714030784080999
110	0.165891405334696	0.65	0.7255058	0.7514847	0.72304058710807
111	0.0866869216784835	0.65	0.6908722	0.7126076	0.688809648647203
112	0.0530340163502842	0.65	0.674336	0.6824221	0.67356874235523
113	0.0545057031791657	0.65	0.6681842	0.6797356	0.667088113592336
114	0.170710597932339	0.65	0.7261676	0.7497287	0.723931858629153
115	0.138661201484501	0.65	0.7064425	0.7232282	0.704849644274515
116	0.103640668932348	0.65	0.6924849	0.710302	0.690794244621879
117	0.0932055370416492	0.65	0.6882154	0.7049038	0.686631767866892
118	0.147887711646035	0.65	0.7061178	0.7302409	0.703828721565604
119	0.0408909297548234	0.65	0.6668833	0.6743993	0.666170108293014
11	0.13716220096685	0.65	0.7077799	0.7310523	0.705571571095426
120	0.0432789116632193	0.65	0.6551114	0.663636	0.65430247726899
121	0.0695465318858624	0.65	0.6806217	0.6838226	0.680317952211222
122	0.0475531392730772	0.65	0.6690072	0.6730393	0.668624579740719
123	0.124713008012623	0.65	0.7020156	0.7147136	0.700810619776523
124	0.172565000876784	0.65	0.729816	0.7503326	0.727869125031261
125	0.0936333066318184	0.65	0.686442	0.7019406	0.684971277160274
126	0.0832767604850233	0.65	0.6778828	0.6908527	0.676652059144684
127	0.192856613080949	0.65	0.7192132	0.7444903	0.716814577728204
128	0.0441941156517714	0.65	0.6774556	0.6748728	0.677700679272842
129	0.124541270779446	0.65	0.6975823	0.7213997	0.695322224453342
12	0.0253536533098668	0.65	0.6657494	0.6748887	0.664882173600967
130	0.0994140405673534	0.65	0.6894969	0.704761	0.688048411822022
131	0.162698847102001	0.65	0.7155385	0.733353	0.713848062606804
132	0.098981410684064	0.65	0.692308	0.704609	0.691140694216311
133	0.108915752731264	0.65	0.6937867	0.709553	0.692290601032632
134	0.0163328629452735	0.65	0.65438	0.6651024	0.653362569636401
135	0.0337994789239019	0.65	0.664128	0.6683697	0.663725520632524
136	0.0784936117939651	0.65	0.6873495	0.704052	0.68576459318688
137	0.0864077295176685	0.65	0.6874457	0.6969157	0.686547103047764
138	0.0122239821590483	0.65	0.6518913	0.6563205	0.65147104692003
139	0.171469350391999	0.65	0.7274534	0.7480294	0.725500933770986
13	0.196444525849074	0.65	0.7355796	0.7574853	0.733500891663381
140	0.155648044124246	0.65	0.7124639	0.7322261	0.710588673312606
141	0.190654321899638	0.65	0.7267982	0.746918	0.72488893951911
142	0.120184042304754	0.65	0.7021687	0.7170903	0.700752808912876
143	0.146207803441212	0.65	0.7068699	0.7316847	0.70451515537061
144	0.0863835440948606	0.65	0.6893391	0.7033456	0.688009964412154
145	0.0439227575901896	0.65	0.6680271	0.6743912	0.667423205746214
146	0.167240629903972	0.65	0.7047671	0.7350746	0.701891101340513
147	0.0761589250527322	0.65	0.6884034	0.6991369	0.687384904851276
148	0.161303539853543	0.65	0.7235004	0.7441204	0.721543752819087
149	0.156650757556781	0.65	0.7155882	0.7424011	0.713043837946356
14	0.147419530618936	0.65	0.6942432	0.712619	0.69249949107658
150	0.0728936637286097	0.65	0.6784527	0.6922041	0.677147747475248
151	0.114749685348943	0.65	0.6929263	0.706128	0.691673566790376
152	0.00100930142216384	0.65	0.6380685	0.6397084	0.637912846350278
153	0.0554205273278058	0.65	0.6765628	0.6909545	0.6751970897227
154	0.0064007168635726	0.65	0.6486177	0.6553732	0.647976639798396
155	0.180947451107204	0.65	0.7209289	0.7448928	0.718654950922908
